	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d1_0	0	0.0284741	0.00941663	0.00379027	0.00133257	0.00130507	0.00155564	0.000171444	6.98735e-05	0.000128901	0.000127744	0.000126212	0.000931943	0.000683482	0.000994209	0.00124247	0	0.00049684	0.00037261
d1_1	0.0243423	0.0119663	0.0063485	0.00032247	0.00119123	0.000417731	0.000687899	0.000501596	2.74552e-06	0.000251048	0.00171483	4.94091e-07	8.19296e-07	0.00111826	0.000497232	0.00134276	0.00121707	0.00211128	0
d1_2	0.0201371	0.0181354	0.00474201	0.00309117	0.00019291	0.00193083	0.00118483	0.00062507	2.58633e-06	1.4621e-06	1.68862e-06	1.05177e-06	0.000622558	0.000808385	0.000622162	0.00142967	0.0017387	0.000745687	0.000745424
d1_3	0.0173998	0.0103505	0.00548292	0.00354923	0.000439505	0.000254386	0.000126626	0.00018908	0.000685814	6.48636e-05	0.000187973	6.39523e-05	1.35725e-06	0.000807895	0.00177658	0.00171495	0.00142905	0.00217375	0.000372855
d1_4	0.0154221	0.0107491	0.00955371	0.00213272	0.000851502	0.000502194	0.000687045	2.7778e-06	0.000127034	0.000127329	0.000560196	0.000622225	0.000436007	0.00049764	0.00105664	0.00391333	0.00394989	0.0031421	0.00273273
d1_5	0.0122524	0.0133842	0.00824684	0.00227988	0.00161835	0.000376196	6.47699e-05	0.000188951	6.50901e-05	0.000498567	6.37793e-05	0.00074684	0.000125759	0.000125139	0.00111856	0.0050301	0.00242286	0.00341543	0.000869483
d1_6	0.011292	0.0125532	0.00576038	0.00439141	0.00370499	0.00124367	0.000125591	0.000188074	0.000126742	0.000722294	0.0004976	0.000597683	0.000559818	0.00024963	0.00289519	0.00242336	0.00577592	0.00670656	0.000907049
d1_7	0.00627147	0.00965574	0.00560028	0.00584133	0.0017421	6.62018e-05	0.00155375	0.000373283	0.000932635	0.000560989	1.36642e-06	0.000746776	0.000497666	0.00131792	0.00512951	0.00413715	0.00403663	0.00366403	0.00273195
d1_8	0.00911975	0.0102963	0.0096694	0.00509716	0.00289665	0.000436344	0.000374386	1.9148e-06	0.000622675	0.000125911	0.000187596	6.30664e-05	0.000535174	0.000623226	0.00124297	0.00453521	0.00521666	0.00568813	0.00223523
d1_9	0.00501495	0.0124038	0.0073331	0.004412	0.00217485	0.00155384	0.000126225	1.11614e-06	6.3859e-05	0.00105725	0.000659207	0.000349677	8.87653e-07	0.00142893	0.00335404	0.00292012	0.00627192	0.00475762	0.00384926
d1_10	0.00478837	0.00547184	0.00655949	0.00192611	0.00260889	0.000746213	9.63797e-07	1.17584e-06	0.000498036	0.000745759	0.000224615	0.00022514	0.00024921	0.00149155	0.00211175	0.00472007	0.00788793	0.0120218	0.00391159
d1_11	0.00236367	0.00621544	0.00432497	0.00447176	0.000994445	1.06929e-06	0.000683612	5.7142e-07	0.000100115	6.30279e-05	0.000373151	7.78688e-07	0.000684377	0.000559748	0.00293185	0.00463277	0.00928943	0.00961221	0.00738881
d1_12	0.00273567	0.0034804	0.0043487	0.00341607	0.00490506	0.000869668	0.00037363	0.000372719	0.000249239	0.000596811	0.000869879	0.000497563	0.00142842	0.000199452	0.00177622	0.0056892	0.00670737	0.00767425	0.00353832
d1_13	0.00087077	0.00622539	0.0047835	0.00254934	0.00236016	6.26525e-05	0.000683837	4.7444e-07	0.000497132	0.000559516	6.08959e-07	0.000124698	0.00012501	0.00190141	0.00324189	0.00471966	0.00540275	0.0103065	0.00869173
d1_14	0.00111901	0.00366506	0.00190188	0.00428383	0.000994118	2.04508e-07	2.21112e-07	0.000372584	4.59428e-07	0.000434988	2.13325e-07	2.02168e-07	1.28733e-07	0.000621507	0.001242	0.00155245	0.00804871	0.00937549	0.00862932
d1_15	0.00235991	0.0028577	0.00366322	0.00335325	0.000870558	0.000497353	0.0003728	0.000372731	0.00049691	5.46769e-07	2.05825e-07	0.000186458	0.000807705	0.000372806	0.000807987	0.00130497	0.00745012	0.00779765	0.0106162
d1_16	0.000373204	0.00173832	0.000994465	0.00149162	0.00186331	0.000372426	3.38572e-07	2.06848e-07	1.23814e-07	4.71759e-07	0.000372571	6.23482e-05	0.000124252	0.00024867	0.000496721	0.00341486	0.0040112	0.00527656	0.00900084
d1_17	0.000745581	0.000372868	0.00204977	0.000534457	0.000745948	0.000372636	0.000596413	1.28527e-07	2.79494e-08	4.29252e-08	0	0.000372393	0.000869694	0.00111767	6.25013e-05	0.00217345	0.00335304	0.0145269	0.0117939
d1_18	1.06773e-07	0.00217368	0.000993531	0.000870189	0.000372425	0.000744786	0	0	0.0011172	0.000124131	4.47292e-08	0.000372428	0.000496524	1.51722e-07	0.000993235	0.000124356	0.00422138	0.00571076	0.00974471
d1_19	0.000372495	0.000372724	0	0.00124206	0.000372393	0.000372555	0.000869296	0.000124207	0	0	0	0	0.000744786	0.000744932	0.000372393	0.00211051	0.0056236	0.0131588	0.0244544
