	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d2_0	0	0.0346926	0.0105565	0.00298663	0.00142836	9.25367e-08	1.41475e-08	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0696575	0.0366627	0.0186952	0.00602105	0.0032664	0.000124878	5.56055e-09	3.68116e-08	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0262955	0.0320671	0.0221571	0.0151027	0.00595932	0.0011178	0.000372352	0.000372083	1.7461e-08	0	0	0	0	0	0	0	0	0	0
d2_3	0.0235731	0.0242684	0.0183229	0.0106631	0.0077603	0.00198757	0.000372465	2.01973e-07	7.51514e-08	0	0	0	0	0	0	0	0	0	0
d2_4	0.0098103	0.0234365	0.0141078	0.00576033	0.00345514	0.00171632	0.000869082	3.59444e-07	1.7804e-08	5.55122e-08	0	0	0	0	0	0	0	0	0
d2_5	0.00495235	0.0113259	0.00712935	0.00776916	0.00343203	0.00111976	1.40809e-06	3.56951e-07	2.60838e-07	1.36066e-07	0	0	0	0	0	0	0	0	0
d2_6	0.00192905	0.00392156	0.00439637	0.00494882	0.000750807	0.00143106	0.00124332	6.37549e-05	3.02987e-07	0	0	0	0	0	0	0	0	0	0
d2_7	0.00074859	0.00379331	0.00298769	0.00131355	0.001682	0.000996317	2.27281e-06	6.4666e-07	0.000496996	9.93931e-08	2.28518e-08	0	0	0	0	0	0	0	0
d2_8	0.000869795	0.000131115	0.00112552	0.00165974	0.000256191	0.000191177	0.00105731	0.000127073	1.14314e-06	6.9983e-08	0	0	0	0	0	0	0	0	0
d2_9	1.58356e-06	6.57344e-05	0.000439916	0.00131005	0.000998896	6.72661e-05	0.00169012	0.000373616	1.9086e-06	0.000496559	2.61318e-07	0	0	0	0	0	0	0	0
d2_10	5.07896e-07	2.56702e-06	0.000501502	0.000627181	0.000688273	0.000192865	0.000499502	0.000374897	0.000559564	3.67061e-07	9.59373e-08	0	0	0	0	0	0	0	0
d2_11	6.48987e-07	1.83343e-06	3.8799e-06	0.000189896	6.76818e-05	0.00062461	0.000251707	0.000374111	2.21519e-06	8.35345e-07	1.03785e-07	0	0	0	0	0	0	0	0
d2_12	3.28536e-07	1.7799e-06	0.000684769	0.000376863	0.000538607	0.000189988	0.000102458	1.85935e-06	0.000374067	9.66959e-07	0.000372546	3.23847e-08	0	0	0	0	0	0	0
d2_13	9.31554e-08	5.57779e-07	1.60079e-06	2.82799e-06	0.000562585	3.7781e-06	0.000437711	0.000685202	1.89822e-06	0.000559995	4.92602e-07	2.65033e-07	1.60454e-07	1.1836e-08	0	0	0	0	0
d2_14	0	2.65061e-07	6.6095e-07	0.000188536	6.55275e-05	0.00010345	0.000189022	0.000498395	0.000373134	1.23512e-06	6.32088e-05	0.000186412	1.18089e-07	0	0	0	0	0	0
d2_15	0	8.12751e-08	1.00422e-06	1.3391e-06	0.000598148	0.000126481	0.000498703	2.27597e-06	3.08548e-06	1.59491e-06	1.42524e-06	6.25273e-05	5.98565e-08	1.99606e-07	0	0	0	0	0
d2_16	1.06948e-07	1.39495e-08	0.0005591	8.81869e-07	0.000126588	0.000933361	0.00074696	2.20835e-06	0.000559856	6.28653e-05	1.38758e-06	7.60133e-07	8.90466e-08	0.000372023	0	0	0	0	0
d2_17	0	1.86765e-07	4.92941e-07	1.17839e-06	1.63529e-06	0.000498447	0.000660006	0.00037379	1.70546e-06	0.00105607	0.000496827	1.29406e-06	2.28599e-07	1.18924e-07	1.20074e-07	0	0	0	0
d2_18	0	0	2.51715e-07	5.99256e-07	1.22909e-06	1.61863e-06	0.000126702	1.16404e-06	6.49092e-05	6.34385e-05	0.000558876	6.28148e-05	4.43792e-07	9.46249e-08	1.4231e-07	0	0	0	0
d2_19	0	0	3.78142e-07	6.30467e-05	0.000558905	1.32869e-06	6.2995e-05	2.93813e-06	0.00099474	0.000845786	0.000187906	8.67357e-07	6.25738e-07	0.000124174	2.47799e-08	0	0	0	0
d2_20	0	1.29445e-07	2.63086e-08	5.4944e-08	1.63402e-07	9.03644e-07	0.000497402	0.000225439	0.000224534	1.81013e-06	1.10135e-06	0.000373434	0.000187008	2.53171e-07	1.45691e-07	1.48517e-07	0	0	0
d2_21	0	0	2.1454e-08	0	3.94923e-07	7.21034e-07	0.00012518	9.30985e-07	0.000125844	1.26374e-06	1.25899e-06	6.31652e-05	0.000372792	5.00511e-07	3.0728e-07	6.23263e-05	0	0	0
d2_22	0	0	0	8.99915e-09	2.54732e-07	0.000124894	9.10784e-07	1.1036e-06	1.86442e-06	0.000560094	0.000745341	0.000125158	0.000124512	0.000348272	0.000372131	0	0	0	0
d2_23	0	0	0	4.01585e-08	1.62987e-07	3.33765e-07	2.38677e-07	6.07491e-07	0.000497322	0.000311787	0.000187408	0.000249183	0.000186637	0.000223643	6.28067e-05	1.39883e-08	1.77932e-08	0	0
d2_24	0	0	0	0	9.88006e-08	6.26664e-05	0.000186993	5.4479e-07	0.000434669	0.000808442	1.05155e-06	0.000621104	0.00037319	0.000372966	2.08129e-07	2.753e-07	0.000124011	0	0
d2_25	0	0	0	0	7.88263e-08	0.000496089	6.25265e-05	2.98473e-07	0.000124205	6.37961e-05	0.00037284	8.40669e-07	0.000534201	0.000930804	3.82905e-07	2.23032e-07	0.000372023	0	0
d2_26	0	0	0	0	2.32068e-08	4.77975e-08	1.9927e-07	2.5231e-07	4.27062e-07	1.10538e-06	6.18623e-07	0.000187913	0.000373118	0.000224346	0.000372581	5.83569e-07	1.50051e-07	0	0
d2_27	0	0	0	0	7.36071e-08	6.49033e-08	0	9.89447e-08	0.000124376	0.000187517	0.000621199	0.000372906	0.000125222	0.000249162	0.000125002	3.74649e-07	6.36529e-08	0	0
d2_28	0	0	0	0	0	0	6.3291e-08	3.06195e-07	3.53069e-07	0.00049696	0.000137418	0.000434815	6.35547e-05	0.000186968	0.000496743	6.65738e-07	4.3233e-08	0	0
d2_29	0	0	0	0	0	0	1.57099e-07	0	0.00068262	2.2674e-07	0.000744889	0.000125123	0.00062184	0.000559702	0.000807214	0.000558449	0.000496232	8.63815e-08	0
d2_30	0	0	0	0	0	0	6.53001e-08	0	2.92319e-07	6.27957e-05	0.000223756	0.000744962	0.000125411	0.0010934	0.000161706	1.17585e-06	2.46664e-07	1.42792e-07	0
d2_31	0	0	0	0	0	6.56009e-08	0	8.04476e-08	9.63045e-08	1.83767e-07	0.00074481	3.80336e-05	0.000372558	0.00018694	0.000882085	0.000497147	0.000496336	1.54879e-07	8.83804e-08
d2_32	0	0	0	0	0	0	0	7.76946e-11	3.73524e-08	0.000372148	2.57269e-07	0.000682727	0.0012413	0.00018681	0.000869139	0.00183644	0.000521858	0.000124175	0.000124246
d2_33	0	0	0	0	0	0	0	0	1.28267e-07	7.32151e-08	2.57097e-08	0.000124643	0.00105535	6.11976e-07	0.000310705	0.00136516	0.00117908	3.76089e-05	0.000868289
d2_34	0	0	0	0	0	0	0	0	0	9.9586e-05	0.000372023	1.86005e-07	0.000186475	0.00117905	0.00180039	0.00130383	0.00361093	0.00403236	0.000868556
d2_35	0	0	0	0	0	0	0	0	0	7.86889e-09	1.03422e-07	3.76156e-05	0.00124064	0.00124156	0.00117966	0.00564758	0.00518802	0.0050876	0.00192363
d2_36	0	0	0	0	0	0	0	0	0	0	0	2.33098e-07	0.000124239	0.00198624	0.00338757	0.00750765	0.00801662	0.0118863	0.00496365
d2_37	0	0	0	0	0	0	0	0	0	0	1.95388e-07	0	0.000930508	0.00124086	0.00454242	0.00692561	0.0147402	0.0209552	0.00822543
d2_38	0	0	0	0	0	0	0	0	0	0	0	9.95599e-05	0.000620435	0.00254437	0.007518	0.0105859	0.0191698	0.0209779	0.0181114
d2_39	0	0	0	0	0	0	0	0	0	0	0	0.000558278	0.000372172	0.00161309	0.00601731	0.0144032	0.0191048	0.0240414	0.015318
d2_40	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7378e-05	0.00235778	0.00583243	0.0143041	0.0244726	0.03454
d2_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00142651	0.00254343	0.00663602	0.0166189	0.0275309
