	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d2_0	0	0.0161535	0.0105931	0.00931266	0.00907949	0.00745827	0.00409794	0.0047353	0.00505209	0.00290152	0.00157352	0.00187235	0.00162903	0.00120753	0.000483225	0.000362457	7.54274e-07	0.00036174	7.97201e-08	0
d2_1	0.0407982	0.0104387	0.0111111	0.0106362	0.00987795	0.00828923	0.00937126	0.0052548	0.00456542	0.00459944	0.00413778	0.00295758	0.00144917	0.000665475	0.00166414	0.00259176	0.000482388	0.000241645	0.00108491	0.000361655
d2_2	0.0150642	0.0077039	0.00892745	0.00642737	0.00579042	0.00746911	0.00838309	0.00601209	0.00874253	0.00506698	0.00398008	0.0040379	0.00379855	0.00262913	0.00289257	0.00168757	0.000482736	0.0012656	0.000120899	0
d2_3	0.0075103	0.00408722	0.00673618	0.00588889	0.00498405	0.00528478	0.00582631	0.00410195	0.00573084	0.00506397	0.00560509	0.00347236	0.00494167	0.00516004	0.00277263	0.00361552	0.00108519	4.48361e-07	0.00102468	0.00156645
d2_4	0.00200316	0.00261393	0.00470448	0.000584533	0.00347768	0.00401775	0.00524526	0.00361831	0.00479921	0.00536552	0.00168819	0.00325453	0.00379585	0.00445903	0.001687	0.00204948	0.0021694	0.00108482	0.000482269	0.000361699
d2_5	0.00162009	0.00048959	0.000847722	0.00175147	0.00247524	0.00305077	0.00217186	0.00138712	0.00331522	0.00373714	0.00271235	0.00150781	0.00235001	0.000723216	0.00126571	0.00168683	0.00120488	0.000843966	0.00120493	0.000361724
d2_6	0.00154246	0.000127328	0.000488033	0.000605266	0.0019909	0.000845076	0.000483367	0.00253179	0.00130257	0.00259231	0.000662953	0.000843862	0.000361483	0.00120529	5.89038e-08	0.000723361	0.000361548	0.00112084	0	0.000361518
d2_7	0.00117162	0.000125687	0.000725936	0.000485346	0.000725163	0.000483627	0.00108576	0.000362673	0.0019293	0.00108451	0.000361847	6.08131e-07	0.000724099	0.000361992	0.000361741	0.000482087	0.000843744	0	0.000361554	0
d2_8	0.000601708	0.000127245	0.000667115	0.000243376	2.10742e-06	1.31185e-06	1.79897e-06	0.000423221	0.000844375	0.00060284	0.000723449	1.39947e-07	1.23517e-07	0.00018106	0.000120822	0.000361792	2.01011e-08	2.02787e-08	0.000361445	0
d2_9	0.000173299	4.43041e-06	0.000545224	0.000363148	3.20615e-06	0.000484161	1.60365e-06	0.00048318	0.000542819	0.000482825	1.61027e-07	0.000542765	0.000361459	0.000361463	0.000722945	2.19489e-08	1.03963e-07	0.000217172	0	0
d2_10	0.00115991	4.1241e-06	0.000184135	0.000183133	1.74595e-06	0.00012207	0.000182316	0.000664678	6.56013e-07	0.000361697	3.45447e-07	6.292e-08	2.06424e-07	9.18176e-07	2.20839e-07	0.000482297	9.94483e-08	0	0	0
