	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d2_0	0	0.0301015	0.0175027	0.0143639	0.0127249	0.00854116	0.00751989	0.00524137	0.0055007	0.00218237	0.00230548	0.00245704	0.00101452	0.0017037	0.000107831	0.00106407	0.000426613	0	0	0
d2_1	0.0265839	0.0149914	0.0115677	0.00769289	0.00700983	0.0106285	0.00869965	0.00629774	0.00719875	0.00476111	0.0041299	0.00489404	0.00373465	0.00298656	0.00149321	0.0020814	0.000318817	0	0.000107304	0
d2_2	0.0102052	0.00502723	0.00769748	0.00632461	0.00895864	0.00704549	0.00641541	0.00501976	0.00552384	0.00505011	0.00394736	0.00469428	0.00510156	0.00419416	0.0042128	0.00208127	0.00127709	0.000534066	0	0.000318817
d2_3	0.00544846	0.00145799	0.00242938	0.00425237	0.00146385	0.00419115	0.00676511	0.00687301	0.00788188	0.00343707	0.00638995	0.00490861	0.00573036	0.00330477	0.0030933	0.00314326	0.0015978	0.000638454	0.0013824	0
d2_4	0.00174528	0.000631642	0.00173276	0.00204323	0.00210681	0.00225297	0.00162054	0.00275844	0.00334945	0.00444644	0.00531303	0.00243681	0.00366497	0.00658265	0.00373382	0.00319476	0.0015967	0.00138645	0	0
d2_5	0.00126846	0.00041179	0.00115314	0.00155773	0.00187586	0.00140502	0.00139076	0.0016046	0.00296902	0.00277769	0.00303842	0.00315846	0.00175803	0.00285849	0.00175769	0.00255369	0.00127921	0.000744865	0.000318817	0
d2_6	0.000253383	0.000186335	8.70689e-05	0.000482657	0.000358785	0.000216824	0.0008029	0.000216632	0.00171957	0.00144219	0.00117388	0.00234784	0.00202811	0.00122675	0.00234239	0.00189554	0.000960117	0.00202123	0.000426145	0
d2_7	0.000552133	0.00128462	0.000843961	8.94342e-05	0.000643567	1.22204e-06	0.000319085	0.001599	0.00109873	0.00149098	0.00069543	0.00133189	0.00152303	0.00143751	0.000319708	0.00180953	0.000958468	0.000692186	0	0
d2_8	5.65839e-05	0.000604315	0.000904834	0.000536564	2.20139e-06	1.15431e-06	0.000161473	0.000427375	0.000318882	5.76863e-07	3.43077e-07	0.000427775	0.00109998	0.00128049	0.000319838	0.000426612	0.000319893	0.000743907	0	0
d2_9	2.23717e-05	0.00100598	0.000600917	5.08369e-06	2.20449e-06	1.26899e-06	0.000106782	5.21328e-08	0.000374829	0.000478633	0	0.00101326	0	0	0.000637635	0.00074696	0.000106357	0	0.000318817	0
