	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d2_0	0	0.0351878	0.00938529	0.000732888	0.000464253	0.000116321	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0752672	0.0390942	0.013023	0.00560948	0.00127247	0.000345203	2.91681e-07	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0435262	0.0317878	0.0158378	0.00556342	0.00316617	0.00080422	2.69269e-07	6.98861e-08	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0246492	0.028263	0.0161535	0.00793236	0.00196091	0.000920658	0.000115893	2.16921e-07	1.1829e-08	0	0	0	0	0	0	0	0	0	0
d2_4	0.0118897	0.0176462	0.0143338	0.00562014	0.0039409	0.000404358	0.000459315	0.000115781	3.56393e-08	0	0	0	0	0	0	0	0	0	0
d2_5	0.00801569	0.0081612	0.0104253	0.00541373	0.003094	0.00132258	2.49093e-06	3.173e-07	1.30774e-08	2.39049e-08	8.93e-09	0	0	0	0	0	0	0	0
d2_6	0.00271412	0.00765521	0.00530562	0.00284075	0.00310193	8.83038e-05	2.09425e-06	1.57567e-06	1.14901e-07	2.36387e-07	0	0	0	0	0	0	0	0	0
d2_7	0.00221859	0.00540018	0.0016246	0.00436669	0.000757847	0.00206975	0.00150863	1.11977e-06	9.67039e-07	8.01602e-08	0	0	0	0	0	0	0	0	0
d2_8	0.00115111	0.00115521	0.00247439	0.00130859	0.000582253	0.00103232	0.000463717	3.8222e-05	6.27325e-07	6.2211e-07	1.00923e-06	0	0	0	0	0	0	0	0
d2_9	0.000344118	0.000980217	0.00125309	0.00138734	0.00172927	6.53861e-06	7.11347e-06	0.000119813	1.08743e-06	7.63311e-07	3.59068e-07	0	3.13809e-08	0	0	0	0	0	0
d2_10	3.64648e-07	0.0011474	0.000177757	0.00109643	0.00121209	0.00172902	0.000238542	0.000460246	1.71334e-06	6.59776e-07	6.81974e-07	2.52744e-07	0	9.63085e-08	0	0	0	0	0
d2_11	8.57738e-07	2.36404e-06	0.000521481	4.33771e-05	0.000466294	0.00158937	0.00098283	6.08101e-05	0.000345229	1.92316e-06	4.93015e-07	5.75312e-07	5.25279e-08	0	0	0	0	0	0
d2_12	1.4595e-07	1.72224e-06	0.000175922	6.47538e-05	0.000638535	0.000121459	0.000349428	0.00027258	2.40441e-06	1.61762e-06	2.31867e-07	2.12978e-07	0	0	0	0	0	0	0
d2_13	1.64956e-07	5.93439e-05	0.000803192	6.30292e-05	0.000524522	0.00046651	0.000350295	0.000121806	0.000344762	0.000517803	0.00063299	7.8431e-08	7.56161e-07	0	0	0	0	0	0
d2_14	1.32266e-08	7.81144e-07	0.000232125	2.90588e-06	0.000349579	0.000178513	0.000520721	0.00027053	2.48226e-06	2.24968e-06	1.17448e-06	0.000344734	0.000458466	4.28969e-09	0	1.63635e-07	0	0	0
d2_15	0	1.75111e-07	4.56113e-07	0.000177092	0.000633207	0.00143367	0.000519939	0.000235563	0.000308027	0.000115892	1.56365e-06	8.94872e-07	7.83748e-07	3.25657e-08	0	0	0	0	0
d2_16	0	0.000114884	3.49377e-07	6.41422e-07	2.09795e-06	0.000384516	0.000237366	0.000695408	0.000518007	0.000634688	4.27003e-07	1.21972e-06	5.05002e-07	3.78103e-08	4.45562e-08	1.906e-08	0	0	0
d2_17	0	3.12133e-08	9.89108e-07	0.000174021	0.000461072	0.000117835	0.00120822	0.000577161	7.3305e-06	0.000116707	2.87286e-06	5.8137e-05	2.61708e-07	0	7.0858e-07	0	0	0	0
d2_18	0	2.49968e-08	1.26373e-07	0.000688725	1.24033e-06	0.000633982	0.000694433	0.000726703	0.00143747	0.000292085	0.000175794	0.000460229	0.000117066	3.70675e-07	0	2.33868e-07	0	0	0
d2_19	0	0.000342847	1.04015e-07	0.000344242	4.76927e-07	1.54566e-06	6.03294e-05	0.00109122	0.000119121	3.49934e-06	0.000345391	0.000174597	0.000576795	3.45092e-07	7.69489e-08	0	0	0	0
d2_20	0	8.51841e-08	0	5.33966e-07	0.000343103	9.18709e-07	0.000116136	2.34879e-06	0.00101261	0.000551281	0.00046471	0.000517399	2.96678e-07	1.33036e-06	0.000173891	2.50606e-08	0	0	0
d2_21	0	4.88555e-07	3.13772e-08	0	1.25545e-07	1.43788e-07	0.000117924	0.000345564	0.000866295	0.000461125	0.000863474	0.000233377	1.5819e-06	7.35339e-07	0.00051634	6.32173e-07	6.16517e-08	0	0
d2_22	0	0	0	1.82711e-09	3.76706e-07	1.1587e-06	0.000343835	0.000233207	0.000553328	0.000121089	0.000118291	0.000978984	6.08624e-05	0.000116753	5.88453e-05	0.000344319	9.146e-08	0.000515768	0
d2_23	0	0	0	0	0	8.15706e-08	9.38578e-05	0.000459323	0.000176294	0.000174893	0.00120703	0.000460306	0.000405309	0.000573667	1.40355e-06	0.000915693	0	0	0
d2_24	0	0	0	0	0	8.20745e-08	1.27828e-07	0.000116432	1.90557e-06	0.000174881	0.00013243	0.000575406	0.00149467	0.00017435	0.000516673	0	3.10251e-08	0	0
d2_25	0	0	0	0	6.7966e-08	8.328e-07	2.31185e-07	1.08196e-06	1.27373e-06	0.000347558	0.000726887	0.000346433	0.000118969	0.000292102	3.77584e-05	2.15618e-07	2.6393e-07	0	0
