	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d3_0	0	0.0574708	0.0304455	0.0256516	0.0212431	0.0175261	0.0105937	0.00763453	0.00666085	0.00256036	0.0022557	0.00118643	0.00133034	0.00131954	0.000147113	9.77064e-05	0.000586425	0	0	0
d3_1	0.0168261	0.0120133	0.00878815	0.00813291	0.00893303	0.0100646	0.00636351	0.00490919	0.00579287	0.00239107	0.00263882	0.0011267	0.00244437	0.00175865	0.00244464	0.000831063	0.00029292	0.000322782	0.00014646	0
d3_2	0.00615527	0.00501605	0.00391629	0.00769421	0.00575379	0.00406053	0.00568162	0.00427897	0.00283077	0.00330815	0.00172519	0.00195866	0.00125321	0.00130064	0.00107444	0	0.00039056	0.000761593	0	0
d3_3	0.00727066	0.00277149	0.00190341	0.00342037	0.00267131	0.00296991	0.00321188	0.00297361	0.00270248	0.00204372	0.00247426	0.00120358	0.00204475	0.00107569	0.000976473	0.000391055	4.88201e-05	0.000683892	0	0
d3_4	0.00350518	0.00272214	0.000880112	0.0022672	0.00140123	0.00261575	0.00216961	0.00246218	0.00274912	0.00253581	0.00183744	0.0017418	0.00112557	0.00205161	0.000537559	0.00029292	0.000439932	9.76401e-05	0.00039056	0.00029292
d3_5	0.00368091	0.00112334	0.00431848	0.00226268	0.00117021	0.00326761	0.00212799	0.00259321	0.00265384	0.00234744	0.00259143	0.00169232	0.00102725	0.0013495	0.000616617	0.000792074	0.000684245	0.000732908	0.00039056	0
d3_6	0.00104218	0.00126178	0.00396875	0.00422812	0.00268094	0.00206734	0.00300087	0.00196698	0.00267961	0.00208236	0.00121359	0.0011732	0.00125315	0.00183657	0.000587454	0.000293091	0.000878782	0.00068355	0	0
d3_7	0.00104679	0.00229872	0.00403576	0.00236368	0.0022682	0.00484442	0.00250741	0.000912955	0.00223085	0.000815149	0.0022279	0.00141938	0.00141739	0.00244296	0.00136885	0.00117181	0.000390697	0.000245354	0.00029292	0.00029292
d3_8	0.00194692	0.00289993	0.0014815	0.001954	0.00145395	0.00262833	0.00178699	0.00350551	0.0022392	0.00175922	0.00136868	0.00303178	0.00117314	0.00127073	0.00154508	0.00131931	0.000293562	0.000781572	0.000390992	0.000293495
d3_9	0.00112338	0.000646745	0.002652	0.00250692	0.00148145	0.00294341	0.00331672	0.00245459	0.00205611	0.00182032	0.00180988	0.000960683	0.00233689	0.000537947	0.00185516	0.00136774	0.000684009	0.000585841	0.00039056	0.000293168
d3_10	0.00110411	0.00063927	0.00199628	0.00108021	0.00256088	0.00231185	0.00140246	0.00171158	0.00326645	0.00240616	0.00176124	0.00291415	0.00088056	0.00166291	0.00198641	0.00136715	0.000830741	0.00117203	0.000391189	0.000293411
d3_11	0.000502146	0.000651343	0.00147429	0.00123935	0.00221469	0.0027686	0.000931267	0.0029237	0.000911028	0.00169406	0.00156329	0.00193429	0.00265875	0.0025223	0.00178805	0.00122131	0.00200385	0.00166074	9.76401e-05	0.000585841
d3_12	0.00067101	0.000675298	0.00133546	0.00108922	0.00141685	0.00272911	0.00141933	0.00169449	0.00284591	0.00206533	0.00184002	0.00169246	0.00259138	0.00129022	0.00144562	0.000879356	0.0010751	0.00122113	0.0014646	0.000878761
d3_13	0.000704225	0.000943714	0.000638446	0.00086338	0.0022715	0.00190455	0.0022804	0.00145099	0.00130154	0.00257135	0.000833461	0.00234581	0.000645966	0.00190509	0.00320454	0.00117221	0.00102578	0.00234348	0.000976744	0.000293151
d3_14	9.0185e-05	0.000521898	0.0011075	0.00172338	0.000656411	0.000540183	0.00281797	0.00115648	0.00132271	0.000990393	0.001678	0.00227731	0.00203418	0.00227677	0.00166044	0.000928445	0.00307628	0.00214869	0.000293141	9.78302e-05
d3_15	0.00033325	0.000864431	0.00105894	0.000784941	0.000540897	0.000952499	0.00199974	0.00140037	0.00120223	0.0026874	0.00198577	0.00213079	0.0024431	0.00156429	0.00183712	0.000538104	0.00127076	0.00205131	0.00068408	0.00117236
d3_16	0.000623777	0.000687666	0.000618463	0.00052158	0.000833322	0.000617577	0.00208169	0.00110549	0.00154473	0.00250315	0.00224799	0.00219929	0.00213141	0.00125212	0.000684309	0.000783557	0.0013676	0	0.0017583	0.000878761
d3_17	3.90835e-06	0.000196487	0.00102835	0.000218086	0.000861435	0.00137078	0.00161461	0.00157721	0.00147806	0.00200404	0.00223879	0.00205257	0.0026508	0.00249267	0.00249111	0.00200288	0.00171088	0.000781253	0.00146518	0.00234336
d3_18	3.1397e-05	2.66224e-07	0.00123517	0.000293458	0.000372828	0.00159611	0.00169275	0.00127397	0.00113853	0.00088951	0.00268698	0.00205382	0.0030405	0.0040457	0.0030773	0.00341836	0.00418127	0.00185569	0.00214866	0.00136831
d3_19	9.9765e-05	9.8317e-05	0.000440215	0.000666795	0.000845552	0.0025221	0.0017031	0.00237507	0.00107671	0.00216281	0.00211225	0.00381105	0.00287305	0.00488439	0.00664156	0.00556953	0.00348267	0.00390748	0.00546912	0.00625076
d3_20	5.44586e-07	2.03925e-07	1.75835e-07	0.000959662	0.000470014	0.000196703	0.000733273	0.00125136	0.00105743	0.00210139	0.00162247	0.00388709	0.00476863	0.00571693	0.00966958	0.0101577	0.0107924	0.0116726	0.0165025	0.0111331
