	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d1_0	0	0.0208896	0.00383347	0.00177192	0.000282941	0.000660591	0.000343124	4.62858e-05	5.81025e-06	3.93958e-06	3.77737e-05	2.47105e-06	1.32337e-06	8.78116e-07	7.30015e-08	0.000110396	0.000435313	8.6267e-08	2.10368e-07
d1_1	0.0438063	0.00855574	0.00301305	0.000877389	0.000583674	0.000789789	0.000514038	7.37214e-05	0.000321753	0.000121321	0.000240509	4.97432e-06	0.000169889	0.000199725	0.00130791	0.000274465	0.000904256	0.00124989	0.000599691
d1_2	0.0266874	0.011398	0.00483703	0.0011117	0.000946155	0.00117503	0.000383325	0.000501138	0.00124675	0.0010795	0.00109918	0.00036874	0.00120653	0.000913407	0.00129442	0.00251175	0.00284566	0.00412894	0.000765106
d1_3	0.0203832	0.00941963	0.00517504	0.00213903	0.00148195	0.000808123	6.55328e-05	0.000371634	0.000117278	0.000529803	0.000862976	0.000606354	0.000391015	0.000877379	0.00240401	0.00300774	0.00329723	0.00579572	0.00142218
d1_4	0.0204628	0.0114018	0.00392923	0.000118518	6.07811e-05	0.00049204	0.000643123	0.000608434	5.76998e-06	0.00016682	0.000115543	0.000714122	0.00185672	0.000825449	0.00296622	0.00631839	0.00747314	0.00605907	0.00414024
d1_5	0.01942	0.00975316	0.00294574	0.00160305	0.00109387	0.000603476	0.000654836	0.000907776	0.000134868	3.81038e-06	0.00114621	0.000224088	0.000746472	0.00382709	0.00388271	0.00259918	0.00631919	0.00772435	0.0051355
d1_6	0.0175024	0.0103312	0.00489879	0.000936276	0.000437009	0.00114298	1.10507e-06	0.000815207	0.00114288	0.000111275	0.000166888	0.000111638	0.000113208	0.000926009	0.00250629	0.00566018	0.0068187	0.00981627	0.00358783
d1_7	0.0113547	0.0113009	0.00446499	0.0022931	0.000960243	0.000709402	8.77959e-07	0.000164873	8.77211e-05	0.000272912	0.000601377	5.68982e-05	0.000708076	0.000493547	0.00242963	0.00460656	0.00857618	0.00922484	0.00482515
d1_8	0.0124635	0.010557	0.00822133	0.0032288	0.00243119	0.000380937	0.000956313	0.000109214	0.000610927	0.000162988	0.000195984	2.23993e-06	0.000821582	0.000546341	0.000602675	0.00284578	0.00707117	0.00912661	0.00732403
d1_9	0.00862489	0.00910405	0.00510433	0.00266549	0.000495072	0.000109946	0.000763096	0.000581168	0.000108713	0.000218509	0.00016482	0.000926682	0.000505855	0.00145158	0.00250249	0.00345859	0.00436404	0.00720909	0.00357113
d1_10	0.00544325	0.011059	0.00459178	0.00383956	0.00228126	0.00124831	0.000325762	0.000921567	1.56328e-07	0.00010939	5.05959e-07	0	0.000763779	5.4612e-05	0.000469319	0.00260998	0.00397206	0.00597508	0.00684739
d1_11	0.00756453	0.00874168	0.00761904	0.00299623	0.000763738	0.000599566	0.000326273	0.000217122	8.00834e-08	0.00010842	0.000325837	5.49108e-05	0.000869352	0.000522927	0.002008	0.00293779	0.00690321	0.00867525	0.00869101
d1_12	0.00453062	0.00917416	0.00928191	0.00286106	0.00162681	0.00010842	0.000543727	0	0.000325499	2.68586e-07	5.42098e-05	1.11703e-08	0	0.000433679	0.00059814	0.00190364	0.00323831	0.00736426	0.00548045
d1_13	0.00362631	0.00897271	0.00633991	0.0050326	0.00266174	0.000869366	9.3596e-07	0	3.71349e-07	0	0.000650518	0.000923039	7.44078e-07	0.000816531	0.000435189	0.000543923	0.00386178	0.00607845	0.00954681
d1_14	0.0045698	0.00576885	0.00423807	0.00206926	0.00238765	0.00195172	0.000433679	0	0.000651049	5.47326e-05	0	0.000325259	0.000490849	0.000433679	0.000650518	0.000815563	0.00195468	0.00575628	0.0112343
d1_15	0.0040786	0.00372813	0.00462001	0.00439838	0.00190148	0.000763299	0.0015202	0.000490334	0	0	0.000109905	0	4.32751e-07	0.000325259	6.43814e-08	5.58197e-05	0.00151899	0.00613157	0.00987854
d1_16	0.00108836	0.00412791	0.00173789	0.0017402	0.00130204	0.000325259	0	0.000325346	0.000325259	0.000325259	0	0.000325861	1.85524e-07	0.000325259	0.000650758	0.00130104	0.00303804	0.00439407	0.0086249
d1_17	0.000434656	0.00255272	0.00173704	0.00152064	0.000652701	0.000325259	0.000813148	0	0.000651623	0.000651864	0.000650518	0.000325259	0	0.000325259	0.000325259	0.000325259	0.00249497	0.00586117	0.0111709
d1_18	0.000325259	0.00108507	0.000109472	0	0.00108527	0	0	0	0.000109361	0	0	0	0.000380524	0.000433679	0.000325259	0.000434611	0.0010842	0.00330836	0.0164355
d1_19	0	0	0.000325259	0	0	0	0	0	0	0	0	0	0.000433679	0.000325259	0.00010842	0.000650518	0.0016264	0.00596596	0.0105215
