	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d1_0	0	0.00765628	0.00118151	0.000195776	0.000169054	0.000133236	4.645e-05	0.000169576	0.000567227	2.75397e-05	0.00046636	0.00112645	0.00115899	0.00121171	0.00829905	0.00957749	0.0106194	0.010769	0.00351961
d1_1	0.0541345	0.0101948	0.00225058	0.000610955	3.44377e-06	0.000537802	0.000102306	5.39867e-06	0.00010199	3.52044e-05	7.45355e-06	6.30686e-05	0.00150701	0.00198344	0.00303837	0.00542734	0.00671699	0.00473597	0.00105252
d1_2	0.0362086	0.0103219	0.00181028	0.000969113	1.29755e-06	0.000513665	0.00017495	4.05373e-07	5.53621e-07	5.94089e-07	8.77472e-07	0.000195874	2.10848e-06	0.00104786	0.00341065	0.00518924	0.00540985	0.00475658	0.00252939
d1_3	0.0318834	0.0132341	0.0034234	0.000836435	0.000580437	9.72534e-05	0.000145412	4.92184e-05	9.66022e-05	0.000435261	5.63403e-08	0.000174778	0.000773081	0.000147848	0.00145331	0.00396979	0.00493867	0.00402842	0.00291108
d1_4	0.023081	0.0152566	0.0048189	0.00127195	0.000224569	0.000242102	0.000145064	7.83441e-05	6.40448e-08	1.76251e-08	1.04646e-06	3.50848e-07	0.000339102	0.000899652	0.00121144	0.00274816	0.00581338	0.0030579	0.00225188
d1_5	0.0224163	0.0152854	0.00572446	0.00247561	0.00143287	0.00072595	0	4.83236e-05	0.000386985	4.83011e-05	1.42326e-07	2.92747e-05	0	0.00141089	0.00091877	0.00440771	0.0058994	0.00583218	0.00270602
d1_6	0.0132858	0.0153031	0.00678833	0.00289412	2.9542e-05	0.000289824	0	2.49456e-09	0.000532101	0	0.000194103	0	0	4.89739e-05	0.0019817	0.00315151	0.00560636	0.00781994	0.000879635
d1_7	0.0125696	0.012566	0.00433472	0.00171771	9.81286e-05	0.000483083	0.000289807	0	0.000144989	0	0.000145549	4.88537e-05	9.73662e-05	0	0.00163492	0.00254258	0.00430987	0.00597396	0.00410672
d1_8	0.0109089	0.0117645	0.00365039	0.0017295	0.000224007	0.000464541	4.88334e-05	0.000290025	0.000289909	0.000174107	0.000386409	4.83011e-05	0	0.00043471	0.000869808	0.001383	0.00379871	0.00778887	0.00495773
d1_9	0.00719728	0.00906657	0.00396337	0.00239255	0.00241648	0.000174752	0	0	0	1.24252e-07	9.73269e-05	7.52633e-09	0.000289807	0.000676787	0.000898944	0.00191509	0.00410766	0.00613525	0.00394223
d1_10	0.00539791	0.00929039	0.00552679	0.000969828	0.000677219	0.000338678	0.000561016	0	0	4.88874e-05	0	0	0	4.83011e-05	0.0022221	0.00173899	0.0024636	0.00632886	0.00466779
d1_11	0.00586878	0.00957631	0.00508557	0.00182147	0.00106515	0.000464316	1.51099e-07	0	0.000289807	0	0.000483717	0.000387047	0	0.000483587	0.000290023	0.00125612	0.00241568	0.00705299	0.00579759
d1_12	0.00582916	0.00754179	0.00682689	0.00261313	0.00135536	7.79157e-08	0	0	0	0	9.66022e-05	1.69758e-08	0.000386409	0.000318898	4.85392e-05	0.000753956	0.00263893	0.00550713	0.00775973
d1_13	0.00193602	0.00840672	0.00624132	0.00357104	0.00181842	0	4.67615e-07	0	4.93899e-05	0	0.000513226	0	0	0.000386873	0	0.00202875	0.00391365	0.00903401	0.00618369
d1_14	0.00319243	0.00592032	0.00578457	0.00426617	0.0010156	0.00101478	9.66022e-05	0	0	0	0.000289807	0	0	0.000579695	0.000966022	0.00101526	0.00294677	0.00821195	0.00985428
d1_15	0.00212725	0.00273958	0.00406035	0.00293113	0.00120973	0.000773542	9.71641e-05	0	0	9.66022e-05	0	0	0	0	0	0.000579613	0.00212588	0.00763208	0.0098547
d1_16	0.00232066	0.00349563	0.00385002	0.00328929	0.000870553	9.66022e-05	0.000676215	0	9.67602e-05	0.000289807	0	0	0	0	0.000289807	0.000531507	0.00130413	0.00574977	0.0122691
d1_17	0.00171994	0.0024183	0.0036734	0.00415902	0.0020776	0.000802542	0	0	0	0	0	0	0	0.000289807	0	0.000676236	0.000193414	0.00405762	0.0132834
d1_18	0.00048335	0.00260946	0.00410831	0.00270535	0.000579613	0.00111146	0.00101486	0	0	0	0	0	0	0.000289807	0	0	0.000676215	0.00473376	0.0145876
d1_19	0.00231917	0.00444474	0.00425257	0.00376912	0.0029956	0	0.000289807	0.000579909	0.000289807	0	0.000289807	4.312e-07	0	0	0	0	0.000289807	0.00231854	0.00434751
