	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d3_0	0	0.0662486	0.0388145	0.0170748	0.012243	0.00348087	0.00188541	0.000680128	0.000562977	0.000582413	0	0	0	0	0	0	0	0	0	0
d3_1	0.00858242	0.0120128	0.0150959	0.00898979	0.00977065	0.00633495	0.00199237	0.00133136	0.00192244	0.000640865	4.50786e-08	0	0.000291035	0	0	0	0	0	0	0
d3_2	0.00284961	0.00717716	0.0107864	0.00945739	0.00979629	0.00675714	0.00460671	0.00285594	0.00197057	0.000388066	0.00102898	0.000388047	0.000582162	0	9.71309e-05	0	0	0	0	0
d3_3	0.00232367	0.00537285	0.00858358	0.00799448	0.00696446	0.00353111	0.00471601	0.00333076	0.00198158	0.00110723	0.00131039	0.000873557	0.000223611	0	0	0	0	0	0	0
d3_4	0.000915297	0.00311753	0.00662578	0.00898814	0.00809291	0.00537814	0.00669148	0.00352687	0.00279541	0.0014662	0.000854548	0.000237602	1.80962e-08	2.13628e-08	0.000291035	0	0.000291035	0	0	0
d3_5	0.00130534	0.00373787	0.00226126	0.00464872	0.00493998	0.00608495	0.00479104	0.0033226	0.00252073	0.00144834	0.00287276	0.00152387	0.00129079	7.77056e-05	0.000436553	0	0	0	0	0
d3_6	0.000569251	0.000496227	0.00239193	0.00356872	0.00368136	0.0062899	0.00649499	0.00538416	0.0029347	0.00290424	0.0037606	0.00190231	0.00150433	0.00140678	0.000679253	0.000145704	0	2.92806e-05	0	0
d3_7	2.5149e-06	0.000327703	0.00192139	0.00190998	0.00306742	0.00372431	0.00543056	0.00252778	0.00525316	0.0030583	0.00228222	0.00326096	0.00216469	0.00090256	0.00063102	0.000499173	0	0	0	0
d3_8	0.000225061	0.000197911	0.00104407	0.00122479	0.00485167	0.00500546	0.00519646	0.00413345	0.00364259	0.00451416	0.00223309	0.00395973	0.00172793	0.00155239	0.000388047	0.000679394	0	0.000291035	0	0
d3_9	4.15442e-07	0.000535992	0.000517812	0.00172196	0.00239268	0.00216082	0.00451049	0.00383806	0.00513668	0.00483503	0.00395535	0.00358136	0.00208647	0.00153332	0.000485234	0.000873105	0.000873105	0.000291035	0	0
d3_10	3.38538e-05	9.74198e-07	0.000286965	0.000740696	0.00152674	0.00285701	0.00493429	0.00447714	0.00557756	0.00402909	0.00421257	0.00504711	0.0040571	0.00372615	0.00192564	0.001339	0.000388047	9.70117e-05	0	0
d3_11	2.98005e-07	2.97624e-05	0.000710023	0.00180769	0.00148637	0.000895511	0.00180893	0.00286583	0.00403506	0.00519888	0.00471903	0.00555242	0.00288295	0.00349309	0.00155276	0.00206723	0.000679082	0.000291035	0.000291035	0
d3_12	5.91759e-08	0.000175051	0.000466307	0.000127113	0.000807208	0.000322843	0.00295284	0.00237061	0.00402939	0.00244907	0.00366924	0.00361174	0.00357139	0.00310521	0.00257152	0.00271671	0.00067921	0.00058207	0	0
d3_13	9.71881e-09	5.82165e-08	2.96833e-05	2.98463e-05	0.000432522	0.000680204	0.0010687	0.00256824	0.0037474	0.00214704	0.00337788	0.00477594	0.00172777	0.00335806	0.00280459	0.00131029	0.00111586	0.00116424	0.000145518	0
d3_14	1.79646e-08	1.01253e-09	7.79691e-05	6.10287e-07	0.000223792	0.001098	0.0020491	0.00153415	0.00253444	0.0030966	0.00289382	0.00279499	0.0041631	0.00500701	0.00318261	0.00171778	0.00216353	0.000679082	0.000145518	0.000388047
d3_15	1.93185e-07	2.93154e-05	6.33721e-08	2.9493e-05	0.000126256	0.000577058	0.000320864	0.00147066	0.00214581	0.00300899	0.00100106	0.00234955	0.0027181	0.00365828	0.00468707	0.00179559	0.00266825	0.00116428	0.00208575	0.000727955
d3_16	0	0	0	0.000465885	1.7905e-07	0.000533658	5.50996e-07	3.11531e-07	0.000671123	0.00111621	0.0015634	0.00232405	0.00312937	0.00544385	0.00426986	0.0043664	0.00543325	0.00296895	0.00135841	0.000291035
d3_17	0	0	0	8.18809e-09	0	1.94683e-07	8.08481e-09	0.000320927	0.00095162	0.000951432	0.00107778	0.001728	0.00218332	0.00327989	0.00204815	0.00349345	0.00344468	0.00313412	0.00227987	0.000873105
d3_18	0	0	0	0	0	0	0	0.000515251	0.000776536	0.000903243	0.00101914	0.00196985	0.00253311	0.00321215	0.00484248	0.00694787	0.00417198	0.00594745	0.0033469	0.000873105
d3_19	0	0	0	0	0	0	0	0.000436875	4.26049e-08	1.95664e-05	0.00068916	0.00116433	0.00077618	0.00192142	0.00418252	0.00577311	0.00476387	0.00783935	0.00488026	0.0029882
d3_20	0	0	0	0	0	0	0	0	0	9.72535e-05	0.000388192	0.000660677	0.000466137	0.00156319	0.00245534	0.00845174	0.0106834	0.0190654	0.0216352	0.0202759
