	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d1_0	0	0.0256276	0.00296168	0.000913962	0.000547023	0.00059855	0.000280525	5.55257e-06	3.33122e-06	2.41355e-06	5.18708e-05	1.29058e-06	2.31122e-07	2.45347e-07	7.34313e-08	3.34888e-07	1.8332e-07	0.000400811	0
d1_1	0.045554	0.0100389	0.00483549	0.00176279	0.00161972	0.000858434	0.000499722	0.000693501	0.000388845	0.000137354	0.000435023	0.000163244	0.000452487	0.000502612	5.18051e-05	0.00171482	0.00141605	0.000765849	0.000150898
d1_2	0.0271973	0.00965436	0.00226276	0.00225105	0.00151904	0.00055959	0.00067348	0.0011545	0.00144251	0.000552157	0.000386876	0.000854294	0.000327146	0.000202036	0.00123444	0.00202028	0.00202261	0.00349216	0.00183531
d1_3	0.0230408	0.0143587	0.00502033	0.0019784	0.00128956	0.000757768	0.000411257	0.000489031	0.000289462	0.000288727	0.000908159	0.00161892	0.00138967	0.000884407	0.0011568	0.00513286	0.0060253	0.00357688	0.00219139
d1_4	0.021097	0.0129333	0.00416304	0.00166079	0.000786018	0.000155992	0.000855527	0.00100446	0.00047666	0.000456301	0.00105564	0.000207063	0.00133696	0.000971696	0.00183852	0.00417476	0.00713456	0.00385662	0.00275935
d1_5	0.01409	0.0112564	0.00647517	0.00138779	0.000102544	0.00113409	0.000302539	0.000104456	0.000503601	0.000284223	0.000151146	0.000845177	0.00083634	0.0014895	0.00279343	0.00458093	0.0068228	0.00581953	0.00501368
d1_6	0.0115175	0.0100677	0.00663591	0.00145413	0.000332005	0.00115223	0.00070441	0.000551805	0.000603371	0.00058243	0.000101565	0.00105683	0.000236043	0.000885698	0.00272445	0.00433122	0.00932924	0.00763274	0.00476773
d1_7	0.0132743	0.0115295	0.00637632	0.00178562	0.000300292	4.50425e-07	0.000100505	0.000951566	0.000101592	0.00083327	0.000182027	0.000253289	0.000283014	0.00110748	0.00312313	0.00635265	0.00936591	0.00630984	0.00473964
d1_8	0.0108274	0.0130176	0.00554169	0.00341983	0.00105195	0.000401427	0.000150859	0.000300955	5.13021e-05	0.000401961	0.000150591	0.000663682	0.000202161	0.00148469	0.0019677	0.00624456	0.00674851	0.00550784	0.00505801
d1_9	0.00676721	0.00920178	0.00766098	0.00373791	0.00126426	0.0013026	5.05248e-05	3.10903e-07	0.000181444	0.000300111	0.000452663	0.000300439	0.000782312	0.000482906	0.0014057	0.00238879	0.00790479	0.00723634	0.0066077
d1_10	0.0087138	0.0109731	0.00814067	0.00250601	0.00120192	0.000400989	0.000330942	0.000450678	0.00030018	0.000400352	0	8.20706e-07	0.000150874	0.00103241	0.00136245	0.00364793	0.00563467	0.00793195	0.00518728
d1_11	0.00687804	0.00577965	0.00698368	0.00545636	0.00170457	0.000600225	0.000250931	0.000550529	0	0.000450264	0.000100128	0.000100914	1.17274e-07	0.000401157	0.00115421	0.00251528	0.00360446	0.00890077	0.00670636
d1_12	0.00441905	0.00592221	0.00732262	0.00573582	0.00200211	0.00040052	0	0	1.36984e-07	0.000350069	0.00010002	0.000600119	1.56959e-07	0.00015003	0.000631045	0.00141236	0.00380163	0.0066882	0.00585224
d1_13	0.00525989	0.00656315	0.00761084	0.00275339	0.00130039	0.00070018	0	0.000600968	0	0.000400079	0.000450089	0.000400079	0.000300059	0.00120127	0.000100269	0.00060061	0.0045526	0.00463229	0.00560391
d1_14	0.00406621	0.00365403	0.00550777	0.00298433	0.00150142	0.00105045	0.000400079	0.00058098	0.000150202	0.00010002	0.000300059	0	0.000300133	0.000750202	0	0.000850947	0.00450307	0.00570245	0.00615308
d1_15	0.00230336	0.00303638	0.00423476	0.002902	0.00130175	0.000400299	0.0011006	0.00010002	0.00070035	0.000100752	0.000300059	0.000700138	0.000600119	0	0.000601124	0.00125113	0.00260051	0.00545179	0.00840365
d1_16	0.000951351	0.00213215	0.00310216	0.00320213	0.000700437	0.000300059	0.000900306	0.00105039	0.000600119	0	0	0.000300363	0	0.000700205	0.000600119	0.00120055	0.00260194	0.00665197	0.0094029
d1_17	0.00120024	0.00200125	0.000600119	0.00110116	0.00105066	0	0	0.000600119	0	0	0.00100029	0.000300059	0.000400079	0.000300059	0.00110022	0.0015003	0.00010002	0.00390077	0.0090518
d1_18	0	0.000400427	0.00090061	0.000900178	0	0.000300059	0.000300687	0	0.000300059	0	0.00040058	0	0.000300246	0.000300059	0.000900178	0.000700138	0.00260051	0.003851	0.0176041
d1_19	0	0.000400505	0	0	0	0	0	0	0	0	0	0	0.00010002	0.00040033	0.000300059	0.000300059	0.00110035	0.00640146	0.0114027
