	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41
d3_0	0	0.0658331	0.0159875	0.00520648	0.00396827	0.000853788	0.00156213	0.00053355	0.000405598	0.000650773	0.000885536	0.00083206	0.00123735	0.000352113	0.000490792	0.000373434	0.000298779	7.62415e-08	0.000373396	0.00109861	0.000160086	0.000693334	0.00133324	0.00225042	0.000815218	7.47334e-05	0.000597321	0.000245367	0.000170716	0.000405364	0.000618655	0.00072534	0.00163194	0.00160917	0.00391439	0.00456956	0.00902316	0.00957764	0.00563152	0.00465028	0.00506602	0.000906562
d3_1	0.00999243	0.00861245	0.00417585	0.00398904	0.00125853	0.000213371	0.000405325	0.000160027	3.69114e-08	5.33929e-05	0.000319957	0.000319966	0.000192004	0.000511969	2.44674e-08	0.000181355	1.78518e-08	0.000565289	1.13829e-08	1.71323e-08	5.33805e-05	1.13167e-08	0.000351986	0.000639937	0.000138673	0.00061866	0.000479945	2.89349e-08	0.000426618	0.000191989	0.000373306	5.33528e-05	0.00115186	0.000949263	0.00167456	0.00178586	0.00202662	0.00520479	0.00481031	0.00360489	0.00219709	1.10111e-08
d3_2	0.0073296	0.0103816	0.00328592	0.00407439	0.00117319	0.000853204	0.000799908	2.9712e-08	8.53483e-05	2.01306e-08	2.62592e-08	8.19127e-09	2.10067e-08	3.06137e-08	1.89985e-08	5.33441e-05	1.63598e-08	9.09058e-09	1.09728e-08	1.22435e-08	5.33528e-05	0.000266643	0.000106655	8.53476e-05	8.53512e-05	0.000426603	7.44541e-09	2.11774e-08	2.77415e-08	0.000266669	0.000106674	2.62758e-09	0.000426657	0.00116254	0.0019732	0.00268785	0.00417022	0.00553528	0.00533278	0.0026237	0.000426603	0
d3_3	0.00813896	0.00629018	0.00436781	0.0036797	0.0011519	0.00120515	8.53421e-05	0.000159987	0.000458613	5.60349e-09	0.00015998	7.77193e-09	1.65414e-08	0.000266659	0.000159983	1.31716e-08	0.000319947	0.000319966	1.21551e-08	3.87808e-09	0.00047993	4.22609e-09	0.000159993	0.000160009	4.89876e-09	5.33495e-05	5.33464e-05	1.03973e-08	7.31644e-09	5.65369e-09	8.39632e-09	0.000266657	0.000938565	0.000426652	0.00122653	0.00209044	0.00271972	0.00351968	0.00446884	0.00273037	0.00175981	0.00106648
d3_4	0.0067529	0.00836473	0.00458084	0.00266648	0.00121595	0.0011732	0.000373278	0.000213315	4.26839e-09	0.00047994	1.28952e-08	0.000192026	0.000106661	1.18037e-09	7.94952e-09	8.81174e-09	1.32664e-08	4.49968e-09	0.000106666	1.23208e-08	3.46681e-09	8.50543e-09	0.000906554	0.000191992	5.3347e-05	0.000426612	7.59759e-10	3.20012e-05	2.72877e-09	0.000319945	1.50707e-08	1.50372e-08	1.19024e-08	0.000991946	0.00127984	0.000938592	0.00246375	0.00262376	0.00333833	0.00415943	0.00245299	0.00031995
d3_5	0.00696312	0.00805954	0.00757319	0.00502216	0.000991907	0.00125849	0.000213312	2.154e-09	0.00047992	0.00015998	0.000426612	1.04731e-08	1.06053e-09	0.000511924	7.38819e-09	3.12152e-09	4.26178e-09	0.00043731	4.76251e-09	6.62551e-09	9.87069e-09	3.71157e-09	1.64185e-09	0.000106658	4.39239e-09	5.49961e-09	1.12658e-08	5.33479e-05	0.000159991	0.00031998	5.33599e-10	0.000853221	0.00031999	0.00106654	0.000426629	0.000959922	0.00257042	0.0013591	0.00266636	0.00207978	0.00266625	0.000746556
d3_6	0.00517847	0.0059107	0.00521591	0.00209059	0.00122653	0.000533262	0.000458608	5.33554e-05	0.000319947	1.46801e-09	9.6439e-10	2.89163e-09	1.22254e-08	0.000106672	4.33012e-09	0.000746557	6.03204e-09	6.68947e-09	3.7152e-09	2.34497e-09	3.54257e-09	7.40233e-10	0.000479938	1.45712e-09	0.000319947	1.63008e-09	0.000533269	0.000106659	5.33505e-05	0.00016001	5.33369e-05	0.000191985	0.000479962	0.000352001	0.000266636	0.00040533	0.00155723	0.00261298	0.002485	0.00245302	0.0027729	0.00239961
d3_7	0.00530274	0.00482692	0.00581328	0.00227196	0.00148254	0.000106687	0.000319957	3.19959e-05	2.15426e-09	1.29572e-09	0.000106653	4.7269e-05	0.000426605	3.83044e-09	5.33585e-05	0.00010666	2.36872e-09	5.1045e-09	8.15832e-12	0.000533246	5.77363e-10	7.81462e-10	4.62837e-10	4.2593e-09	5.50271e-10	1.02207e-09	9.73135e-10	2.22343e-10	0.000106654	0.000533257	0.000245293	1.28961e-09	0.000906537	0.00021334	0.00047996	0.00152515	0.00397811	0.00351948	0.000938596	0.00365813	0.00264491	3.77889e-10
d3_8	0.00339441	0.00359426	0.00264551	0.00422356	0.00253832	0.00197305	0.000586577	0.000511927	4.10526e-09	1.01775e-08	1.66322e-09	0.000106653	0.000159972	2.52387e-09	1.91391e-09	1.37492e-09	6.71818e-09	2.17469e-09	0.000319946	5.33245e-05	0.000106648	1.79008e-09	0	4.60373e-09	1.20265e-10	6.42001e-10	0.000373284	0.00010665	1.80287e-08	2.14467e-09	5.39942e-10	0.000245333	2.13544e-05	0.000191976	0.000746544	0.00104524	0.000789302	0.00223969	0.00122645	0.00255964	0.00373274	0.000106648
d3_9	0.00320174	0.00340321	0.00386125	0.00585535	0.0017918	0.000991891	1.73116e-08	0.000533247	4.24393e-10	1.04832e-09	5.21366e-10	2.25387e-09	9.07707e-10	6.09861e-09	0.000159981	3.07805e-09	0.000159979	2.00636e-09	9.8935e-10	1.60541e-09	2.92891e-10	4.97403e-09	0.000479936	0	1.63217e-09	2.40094e-09	0.000426611	3.20165e-05	6.32834e-10	9.26023e-09	0.00042661	3.45579e-10	2.53812e-09	0.000319944	3.20445e-05	0.000383972	0.00163178	0.00170647	0.00189838	0.0023997	0.00367941	0.00189835
