	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d1_0	0	0.0160234	0.00350751	0.00164516	0.00171583	0.00148634	0.000422494	0.000448005	0.00051565	0.000334061	8.22466e-05	3.03966e-07	0	0	0	1.63811e-07	0	0	0
d1_1	0.0311005	0.00843885	0.00396854	0.00150634	0.00141527	0.00110778	0.00136126	0.00161076	0.000963663	0.000689023	0.00013408	0.0017659	0.00105186	2.53377e-07	0.000151839	0.000453501	0.000212721	0.00100832	0.000453399
d1_2	0.0279009	0.00909387	0.00283313	0.00260656	0.00310936	0.00218136	0.00133244	0.00109842	0.001159	0.00111406	0.00162137	0.000265863	0.000758756	0.000516892	0.000285009	0.000686568	0.000203239	0.00154474	0.00110954
d1_3	0.025902	0.00912405	0.00567306	0.00227959	0.000989311	0.00104613	0.00174322	0.000472933	0.00177208	0.00158107	0.000550865	0.00101449	0.000688309	0.00102126	0.0020793	0.000991948	0.00381354	0.00191024	0.00151387
d1_4	0.0204501	0.0122998	0.00341048	0.00228341	0.00158945	0.000306833	0.00141615	0.00126084	0.00125629	0.00111528	0.00144667	0.000184323	0.00165911	0.00114426	0.00169741	0.00461174	0.00386572	0.00628684	0.00322822
d1_5	0.019987	0.00945441	0.00497057	0.00107074	0.00159417	0.000505711	0.000537689	0.000415411	0.000598989	0.00104052	0.00155435	0.000689807	0.000671381	0.00180737	0.00220282	0.00439207	0.00380437	0.00650036	0.0052245
d1_6	0.0136582	0.00915678	0.00681106	0.00120173	0.00136049	0.00151185	0.000152957	0.000505438	0.000687145	0.000306194	0.00055684	0.000489546	0.00141561	0.00128374	0.00365517	0.00551219	0.00800532	0.0124828	0.00791469
d1_7	0.0147398	0.0112501	0.00465691	0.00171317	0.000736684	8.14257e-05	0.000504423	0.000202052	0.00060449	0.000403287	0.000717042	0.00110104	0.00159386	0.00314923	0.00226356	0.0037149	0.0107223	0.00801702	0.00679641
d1_8	0.0120922	0.00992633	0.0071012	0.00206759	0.000263328	0.000101061	0.000655665	0.000453882	0.000584978	0.000805884	0.000786134	0.00108837	0.0016128	0.00106021	0.00179587	0.00396274	0.00869032	0.0084466	0.00822067
d1_9	0.0103956	0.00872926	0.00550631	0.00317602	0.000706897	0.000301983	0.000907365	0.000503357	0.000452957	0.000150981	0.000755595	0.000805465	5.04533e-05	0.000705949	0.00151218	0.00229918	0.00522375	0.00845606	0.00700128
d1_10	0.0103544	0.00850691	0.0057004	0.00241988	0.00176303	0.000806334	0	0.000905884	0.000805231	0.000100654	0.000553596	0.000302044	0.0009867	0.000685573	0.000504208	0.00283324	0.00449607	0.00694383	0.00587103
d1_11	0.00981571	0.0101363	0.00891223	0.00327391	0.00146028	0.000806901	0.00120785	0.000603923	0.000885785	0.000905884	0.000352288	0.000755484	0.000452942	0.000202224	0.000251802	0.00161189	0.00574206	0.00511472	0.00709931
d1_12	0.00641516	0.0071624	0.00836266	0.00246915	0.00146122	0.00169186	0.00110762	0.000805231	0.000301961	0.000301961	0.000956357	5.03269e-05	0.000301961	0.000100654	0.000503269	0.0017632	0.00269941	0.0049127	0.00783352
d1_13	0.0068631	0.0105099	0.00506775	0.00360661	0.00201352	0.000855992	0.000855558	0.000100654	0.000402615	0	0.000402615	0.000301961	0	0.000603923	0.00151031	0.00080579	0.00503287	0.00422746	0.00659305
d1_14	0.00443561	0.0043336	0.00251962	0.00300154	0.00130974	0.00100654	0.000301961	0.000302539	0.000905884	0.000805231	0.000100654	0.000503269	0.000100654	0.000301961	0.00118787	0.000855605	0.00297046	0.00392575	0.00865633
d1_15	0.00241819	0.00448392	0.00216475	0.00287127	0.000754904	0.000402615	0.000603923	0	0.000704577	0.000805231	0.000402615	0.000452942	0.000704577	0.000100654	0.000704862	0.00115752	0.00140915	0.00586879	0.00971309
d1_16	0.00070502	0.00152296	0.00292156	0.000301961	0.00146102	0.000402615	0.000301961	0.000301961	0	0.000704577	0.000603923	0.000201308	0.000603923	0.000301961	0.000301961	0.00145977	0.00276798	0.00377452	0.0113237
d1_17	0.00115841	0.00100801	0.000201929	0.000301961	0	0	0.000301961	0	0.000603923	0.000603923	0.000100654	0.000301961	0.000301961	0.00120785	0.00211373	0.00110719	0.000603923	0.00387548	0.0100654
d1_18	0.000301961	0.000906299	0	0.000402615	0	0	0.000704577	0.00120785	0	0.000301961	0.000301961	0.000905884	0.000603923	0.000301961	0.000301961	0.000301961	0.00150981	0.00332158	0.0104688
d1_19	0	0	0	0	0	0	0	0	0	0	0.000301961	0	0	0.000603923	0.000603923	0.000301961	0.000805231	0.00463008	0.0100654
