	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d3_0	0	0.0184585	0.00660066	0.00404709	0.00123927	0.00197049	0.00230614	0.00294532	0.00141828	0.00149767	0.00137769	0.00303386	0.00104092	0.00413537	0.00446758	0.00735182	0.0103877	0.0124044	0.00864324
d3_1	0.0280263	0.0068555	0.00211159	0.000727523	0.000480818	0.000350551	0.000890275	4.2204e-06	0.00102806	0.000158944	0.000389715	0.000786175	0.00102557	0.00173464	0.0032943	0.0067244	0.00610765	0.00706972	0.00636598
d3_2	0.0181207	0.0043081	0.002491	0.000632582	0.000194624	0.000504061	0.000503616	0.000471874	5.43247e-05	0.000367782	3.72949e-06	0.000939972	0.00128363	0.00138844	0.00348307	0.00255477	0.0061	0.00709639	0.00418051
d3_3	0.0185815	0.00725665	0.00359945	0.000819249	2.20896e-06	1.46508e-06	1.15625e-06	5.30716e-05	0.000679137	1.62018e-06	0.000573862	0.000136529	0.00229245	0.000709568	0.00294937	0.00409598	0.00485592	0.00701286	0.00409419
d3_4	0.0189767	0.00856939	0.00375242	0.00168342	0.000418558	0.00121141	0.00039709	3.22165e-05	0.000397326	9.94289e-07	8.48931e-05	5.29953e-05	0.00138614	0.000710904	0.00289648	0.00298025	0.00447899	0.00589824	0.0036773
d3_5	0.0167599	0.00571295	0.00287431	0.00166899	0.000762649	0.000469579	2.08796e-05	0.000293047	0.000136871	0.000312694	0.000157106	0.000417136	0.00031262	0.00072941	0.001824	0.00203162	0.0030319	0.00657387	0.00614311
d3_6	0.0169199	0.00644935	0.00274946	0.00172207	0.000627327	0.000469369	0.000500305	0.000469077	0.000312595	0.000500148	0.000135613	8.13369e-07	0.000937966	0.000469536	0.00109417	0.00244848	0.00208374	0.00614567	0.00416545
d3_7	0.0150611	0.00909437	0.00320655	0.0009199	0.000366836	0.000209483	0.000156563	0.000104651	0.000365521	3.89202e-07	3.07187e-07	0.000573466	0.000469267	0.000156774	0.000188195	0.000989644	0.00421652	0.00536481	0.00479061
d3_8	0.0111385	0.00907468	0.00374057	0.00237638	0.000575265	3.25681e-05	0.000417088	2.75983e-07	5.2533e-07	0.000416726	0.000104471	0.000415482	5.23022e-05	0.000416931	0.001354	0.000313533	0.0043739	0.00658236	0.00570797
d3_9	0.0105265	0.00795602	0.00256829	0.000834523	0.00104213	5.21773e-05	0.000780977	2.13458e-08	0	0.000416834	8.36693e-05	0.000416727	0.000312429	3.01913e-07	0.000260872	0.00169707	0.00174903	0.00676771	0.00603879
d3_10	0.0112328	0.0065465	0.00278469	0.00229397	0.00046922	0.000625564	5.52335e-08	3.98653e-07	0.00086505	5.03563e-07	0.000729131	0.00031276	8.67384e-08	0.000416404	0.000520895	0.00203081	0.00213525	0.00484215	0.00671591
d3_11	0.0108883	0.0090004	0.00187904	0.00255266	0.000104468	4.44977e-07	0.0005211	0.000312558	0.000208498	0.000416415	6.74301e-08	0.000312464	0.000832993	0.000292039	0.000728699	0.000687991	0.00135422	0.00447702	0.00567475
d3_12	0.00851185	0.00747877	0.00519067	0.000816473	0.0018023	0.000521399	0.000292466	0.000468643	0.000104401	0.00031265	2.00803e-07	4.96392e-08	0.000416675	2.04901e-07	0.000104118	0.00203045	0.00166584	0.00515352	0.00520594
d3_13	0.00681412	0.00721586	0.00468994	0.0016694	0.000240175	0.000104725	0.000312669	0.000312412	2.50386e-07	7.24296e-08	0.000416544	0	2.07658e-07	0.000156318	1.95663e-10	0.00041677	0.00198909	0.00492436	0.00910973
d3_14	0.00587292	0.00640042	0.00277415	0.00213462	0.00135479	0.000521201	0.000624576	0	0	0.000312401	0.000416641	0.000312568	0.000312288	0.000468567	0.000468432	0.00135382	0.00182168	0.00322748	0.00827619
d3_15	0.00696556	0.00638887	0.0024808	0.00145828	0.00182283	0.000884921	0.000104096	0.000312288	0	0.000468432	0	0	6.81477e-08	0.000312288	0.000312288	0.000624576	0.00187373	0.00255085	0.00645401
d3_16	0.00474324	0.00539956	0.00485386	0.00244796	0.0023222	0.000416662	0.00109301	0	0	0	0	0	0.00046849	0.000624576	0.000312288	0.000936925	0.00166558	0.00520552	0.00801583
d3_17	0.0039094	0.00586483	0.00367735	0.00331138	0.00234318	0.000312288	0.00166554	0	0.000312288	4.01021e-08	0.000312288	1.82418e-07	0.000104347	0	0	0.000343692	0.00166553	0.00307144	0.00744332
d3_18	0.00359385	0.00552091	0.0042287	0.00244723	0.00187403	0.000728883	0.000833221	0.0006248	0.000208192	3.5893e-08	7.52713e-08	0.000416384	0.000416488	0.000416532	0	0.000312288	0.000728671	0.00135325	0.00624605
d3_19	0.00477022	0.00546885	0.0048941	0.00406075	0.00239429	0.000728914	0.000312459	0.000312288	0	0	0.000312288	0	0.000916296	0.000104299	0	0.000312288	0.000624576	0.00374745	0.0110343
d3_20	0.00562342	0.00849707	0.00536256	0.00395639	0.00249854	0.00244714	0.000416508	0.00177007	0.000624576	0.000624576	0.000312288	0.00124915	0.000728671	0.000936867	0.000104096	0.00202987	0.00124915	0.00645403	0.0107219
