	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d3_0	0	0.0522784	0.031056	0.0213266	0.0146893	0.00941393	0.0027022	0.00295362	0.00174158	0.000316746	8.33123e-08	0.000158666	0	0	0	0	0	0	0	0
d3_1	0.00813294	0.0100537	0.00924277	0.0112326	0.010093	0.0101867	0.00411261	0.00291282	0.000738211	0.00161238	0	0.000105441	0.000316395	0	0	0	0	0	0	0
d3_2	0.00206891	0.00572577	0.00947215	0.00648094	0.008238	0.00549291	0.00285207	0.00177542	0.000266338	0.000685333	0.000316475	0	0	0	0	0	0	0	0	0
d3_3	0.00206111	0.00494515	0.00518544	0.00569063	0.00586343	0.00467719	0.00402594	0.00324136	0.00544989	0.0017174	0.00168754	0.000316819	0.000158986	0.000505824	0.000422074	0	0	0	0	0
d3_4	0.00166871	0.00330434	0.0044572	0.00756347	0.00660977	0.00644019	0.00623624	0.00401264	0.00425723	0.00232202	0.000896339	0.000526373	0.000737761	0	0	0	0	0	0	0
d3_5	0.000215112	0.00281953	0.00541855	0.00516981	0.00346944	0.00886909	0.00613232	0.00643633	0.00642182	0.00224581	0.00137477	0.00147828	0.000107505	0.000105303	0	0	0	0	0	0
d3_6	0.0005908	0.0016208	0.0027302	0.00553257	0.00442779	0.008211	0.00647833	0.00565186	0.00487971	0.00325331	0.00368178	0.00147646	0.00161249	0.000631527	0.000631527	0	0	0	0	0
d3_7	5.01836e-06	0.000677834	0.00261764	0.00221501	0.00314936	0.0053733	0.00604	0.00483614	0.00534509	0.00211824	0.00363916	0.00126635	0.00205646	0.00179345	0.000474628	0	0	0	0	0
d3_8	2.65023e-06	5.4213e-06	0.000413357	0.00053911	0.00412398	0.00456454	0.0066896	0.00369603	0.0024977	0.00548514	0.00320264	0.0024825	0.00135369	0.00189562	0.00047573	0.000737744	0.000315764	0	0	0
d3_9	1.31222e-06	0.000194757	0.00074457	0.00223414	0.00278955	0.0040547	0.00429962	0.00213138	0.00357786	0.00270645	0.00388477	0.00319508	0.00179309	0.00179088	0.00158291	0.000737644	0.000421795	0	0	0
d3_10	1.11258e-07	1.35265e-06	0.000458683	0.000620385	0.00223645	0.00260114	0.00491919	0.00484383	0.00369357	0.0043321	0.00452481	0.00367289	0.00327018	0.00303458	0.0016159	0.00163376	0.000421018	0.000315764	0	0
d3_11	3.38012e-07	7.24314e-07	0.00037317	0.000532281	0.00137828	0.00248214	0.00235063	0.00348571	0.00423943	0.00374862	0.00313012	0.00323268	0.00187913	0.00227775	0.00261192	0.00121135	0.00147356	0.000315764	0	0
d3_12	2.15474e-07	7.2422e-07	7.27354e-07	0.00072148	0.00079491	0.000918109	0.00222034	0.00217216	0.00336249	0.00334022	0.00664844	0.00235667	0.00364071	0.00574387	0.00363548	0.00179103	0.000634441	0	0	0
d3_13	0	1.9254e-07	3.65508e-07	3.28131e-05	5.56184e-05	0.000690569	0.00227069	0.00249753	0.00204014	0.00380709	0.00211749	0.00490674	0.0034802	0.00458449	0.0033201	0.00161217	0.0014745	0.00142094	0	0
d3_14	0	0	1.96362e-07	0.000107153	5.31647e-05	0.000930877	0.00130088	0.00204148	0.00163297	0.00442748	0.00367622	0.00448965	0.00509489	0.00421617	0.00585964	0.00311332	0.00294953	0.00147636	0.00105303	0.000315764
d3_15	0	0	0	0	2.86721e-07	0.000192114	0.000106009	0.00045774	0.001162	0.000931721	0.00291988	0.00472231	0.00569696	0.00446501	0.00616765	0.00195158	0.00400594	0.00315963	0.00126305	0
d3_16	0	0	7.56408e-08	0	0	0.000159563	1.35444e-06	0.00142866	0.000477649	0.00116452	0.00179563	0.00396155	0.0034324	0.00467576	0.00412367	0.00342536	0.00452933	0.00231661	0.00147569	0.000737971
d3_17	0	0	0	0	1.14404e-07	0.000474862	0.000582446	2.9972e-07	0.000667621	0.0021971	0.00216579	0.0047825	0.00251091	0.0030586	0.00261691	0.00373918	0.00358089	0.0015802	0.0017901	0.000631527
d3_18	0	0	0	0	0	0	0	0	0.000244803	0.000349861	0.000793372	0.000106886	0.00172192	0.00240671	0.00374118	0.00479467	0.00374201	0.00521549	0.00179174	0.000315764
d3_19	0	0	0	0	0	0	1.59071e-07	0.000316858	2.37483e-07	5.39693e-05	0.00195296	0.00110866	0.00210878	0.00288037	0.00688122	0.0055339	0.00595972	0.00452907	0.0047381	0.00284298
d3_20	0	0	0	0	0	0	0	0	0	0	0	0.00182619	0.00258298	0.00235733	0.00679581	0.00896476	0.0110207	0.0148065	0.0204296	0.012211
