	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d3_0	0	0.0203328	0.00951867	0.00306821	0.0036428	0.00202312	0.00246179	0.00174276	0.000999509	0.00265861	0.00141106	0.00188162	0.00451373	0.00434076	0.0055323	0.00829572	0.0142197	0.0160993	0.0154994
d3_1	0.022186	0.00679689	0.00250139	0.0026927	0.000321499	0.0013168	6.34489e-05	0.000278462	0.000578851	0.000151206	0.000200477	0.0010449	0.00106356	0.00128255	0.00426345	0.00410052	0.00865936	0.00860108	0.004101
d3_2	0.0215197	0.00229645	0.00120462	0.000548059	0.000380243	0.000168495	0.000112379	0.000320484	2.50648e-06	0.000164388	0.000113022	0.000567931	0.00011499	0.000971989	0.0015949	0.00221532	0.0034721	0.00398123	0.00454961
d3_3	0.0163716	0.00488614	0.00194885	0.000522135	0.000544866	5.73377e-05	0.000550315	0.00107666	0.000163338	1.73809e-06	0.000121901	0.000325094	0.00025109	0.000682537	0.00245748	0.00240579	0.00420724	0.00711974	0.00323396
d3_4	0.021008	0.00413241	0.00293793	0.00119148	0.000596768	0.000220827	2.65262e-06	3.5348e-05	2.20226e-06	0.00027475	0.000110185	0.000304694	0.00111243	0.000217265	0.00140041	0.00197408	0.00366544	0.00455825	0.00633186
d3_5	0.0193249	0.00659822	0.00164088	0.000488192	0.00130627	0.00086194	0.000379498	0.000486459	8.83223e-05	2.47994e-05	0.000161783	0.000700383	0.000431851	0.00108006	0.00204741	0.00234764	0.00514916	0.00511228	0.00310459
d3_6	0.0185933	0.00592396	0.00324569	0.00147982	0.00146809	0.000896301	8.69965e-05	0.000109138	8.43534e-07	0.000195086	8.15879e-07	1.36177e-06	8.72732e-05	0.00119723	0.00105448	0.00258393	0.00434039	0.00563192	0.00560889
d3_7	0.0154808	0.00376439	0.00201922	0.0017933	0.000490026	0.000755411	0.000539472	3.08143e-07	0.00043108	2.10984e-07	0.000517967	5.67164e-05	0.000860539	1.95405e-06	0.000540139	0.00100258	0.00231514	0.00616763	0.00575726
d3_8	0.0120517	0.00435379	0.00278011	0.00122028	0.00102587	5.54658e-05	0.000110209	0.000196466	0.000484711	8.21085e-07	1.72932e-06	0.000753982	0.000163699	3.39674e-05	0.000680314	0.00139938	0.00236892	0.00441204	0.00720769
d3_9	0.0114503	0.00662505	0.00194222	0.00091965	0.00107955	0.00102476	0.000324629	0.000430994	6.50919e-07	1.04922e-06	5.37672e-05	5.37093e-07	6.24898e-07	0.000591809	0.000431571	0.0014868	0.00236854	0.00301173	0.00516629
d3_10	0.0139265	0.0054399	0.00352134	0.00091157	0.000196407	0.00123846	0.000573352	0.000323478	6.67684e-07	1.82937e-07	1.70777e-06	0.000517235	0.000430109	0.00118433	0.000162444	0.000539797	0.00285273	0.00242062	0.00885396
d3_11	0.00960035	0.00558029	0.00273272	0.00143623	0.000432869	0.000486571	0.000107609	3.40384e-05	0.000107852	0.000108723	0.000195892	0.000322533	0.000431587	0.000968479	0.000914823	0.000355106	0.00129139	0.00411865	0.00623773
d3_12	0.0109238	0.00576695	0.00332643	0.00188941	0.000540132	0.000143124	0	0.000483753	0	1.54358e-06	0.000322903	0	0.00016219	1.05582e-06	0.00088382	0.000863372	0.00226193	0.00369222	0.00752866
d3_13	0.00690113	0.00753619	0.00280604	0.00121803	0.000593517	1.21855e-07	0.00064501	9.23025e-09	0.000323046	0.000108268	0.000322807	0.000193625	0.000322491	0.000806534	0.000430725	0.00150532	0.000537958	0.00218719	0.00860466
d3_14	0.00773624	0.00671513	0.00530906	0.00310719	0.000916301	0.000839674	0.000215342	9.14536e-08	1.73865e-07	0.000162574	1.04453e-06	5.49128e-05	0.00021666	0.000754144	0.000699914	0.00172181	0.00215179	0.00274281	0.0103045
d3_15	0.00486386	0.00582433	0.00489673	0.0021002	0.00193758	0.000753641	0.000625636	0.000429988	2.01492e-08	7.18586e-07	1.32504e-09	0.000430076	0.000162898	0.00075248	0.000806228	0.00032265	0.000753464	0.00365691	0.00967712
d3_16	0.0063705	0.00532433	0.00350671	0.00140418	0.00143508	5.50276e-05	0.000863101	6.21431e-08	0	0	0	0.000107793	0.000162227	5.38869e-05	0.000429988	0.000946492	0.00145216	0.00231465	0.00999774
d3_17	0.00364032	0.00662874	0.00334079	0.00219108	0.00236986	0.00037721	0	0.000323671	0	1.47209e-07	0.000107497	0.00075248	0.000430598	1.14249e-07	0.00037747	0.000593678	0.00204244	0.00236597	0.00548424
d3_18	0.00394572	0.00302027	0.00362244	0.0016727	0.00118477	0.000807648	0.000108601	0.00037624	0	0	0	0.000108651	0	0	0	0.000430832	0.000322491	0.000753298	0.00940818
d3_19	0.00285979	0.00722171	0.00654589	0.00261885	0.00247597	0.000699778	0.000753619	0.00037624	0.000108592	2.81272e-07	0.000322491	0	9.97647e-08	0.00075248	0	0.00129084	0.00123718	0.0032256	0.00924656
d3_20	0.0109112	0.00988349	0.00918727	0.00581867	0.00337048	0.00247563	0.00225842	0.00113179	0.000430436	0.000967854	0.000430935	0.00075248	0.000860747	0.000644983	0.000644983	0.000322491	0.00349469	0.00688035	0.0222538
