	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d1_0	0	0.012871	0.00484719	0.00191302	0.00134025	0.00148828	0.000226237	0.000829943	4.55193e-05	0.000461785	0.000558826	0.000336902	3.30528e-06	0.000160246	0.000676449	0.000624633	0.00140494	0.000628154	0.000625161
d1_1	0.045436	0.00808698	0.0041087	0.00207546	0.00221184	0.00122236	0.000877863	0.000406404	0.000156177	0.000775796	0.000419323	0.000939731	0.00145358	0.000477638	0.000692395	0.000996827	0.00324224	0.00282351	0.00404153
d1_2	0.0298332	0.00642476	0.00324741	0.000575038	0.000949232	0.000488153	0.00106485	0.00129081	0.00115842	1.51291e-05	0.00025915	0.000752385	0.00125463	0.00149143	0.00276478	0.00302696	0.00723653	0.00577394	0.0035171
d1_3	0.0278876	0.00603367	0.00268829	0.00174856	0.00103744	2.85156e-05	0.000215936	0.00019675	0.000111404	0.000114313	0.000423137	0.000526401	0.00187499	0.00188942	0.00297301	0.00306569	0.00625653	0.00592595	0.0059858
d1_4	0.0233897	0.0075466	0.00267007	0.00194237	5.5343e-05	5.70002e-05	0.000161992	0.000327527	0.000472647	0.00123383	5.28178e-06	0.000506679	0.0010756	0.00130604	0.00334198	0.00417322	0.00608138	0.0066509	0.00598807
d1_5	0.0268708	0.00942085	0.00284635	0.00132865	0.000630971	0.000866522	4.29781e-06	5.49865e-06	0.000211273	0.000327782	0.000846113	0.000937113	0.000678668	0.00193765	0.00329922	0.00318538	0.00632435	0.00821456	0.00669803
d1_6	0.0218854	0.00906241	0.00349376	0.00274199	0.00112589	0.000751809	0.000241067	0.000624839	5.21594e-07	0.000212444	3.23665e-05	0.000345938	0.000656033	0.00104221	0.00161216	0.00370509	0.00354977	0.00548771	0.00583052
d1_7	0.0141668	0.005376	0.00393256	0.00128475	0.000628188	0.000660529	0.000637097	0.000519643	8.41533e-05	0.000105075	1.44071e-06	0.000552476	0.00083148	0.000400749	0.00202893	0.00294072	0.00504309	0.00799172	0.00691003
d1_8	0.0129124	0.00507066	0.0036114	0.000921	0.0016479	0.00181955	0.00103832	0.00015623	3.24946e-07	0.000207906	4.21055e-07	0.00086233	1.00319e-06	0.000810727	0.00159078	0.00207766	0.00467406	0.00819363	0.00633557
d1_9	0.00993087	0.00665652	0.00293174	0.00197753	0.00145848	0.00122628	0.000313764	3.78303e-07	0.000415723	6.65735e-07	0.000157491	0.000208756	0.000415044	0.000311815	0.000468977	0.00195113	0.00340737	0.00581463	0.00848911
d1_10	0.0127766	0.00808321	0.00442275	0.0025314	0.000211179	0.000241912	0.000550981	5.24327e-05	7.52981e-07	0.000106715	0.000312307	0.000259867	0.000417182	0.00119555	0.00138169	0.00166167	0.00228599	0.00420543	0.00700833
d1_11	0.00772028	0.00960574	0.00563168	0.00213469	0.00171484	0.000625137	0.000314657	0.00062328	7.43635e-08	3.39739e-07	1.14897e-06	5.41661e-07	0.000884131	0.00186813	0.000622596	0.000780926	0.00228396	0.00337399	0.00731665
d1_12	0.00820197	0.00866563	0.00516409	0.0031699	0.0014534	0.000157152	0.000987523	0.000467723	1.94426e-08	0.000104036	8.40678e-05	0.000311829	0.000415498	0.000415819	0.000520007	0.00109083	0.00264722	0.00228518	0.0067816
d1_13	0.00613911	0.00609719	0.00308186	0.00296302	0.00130053	0.000779117	0.000446119	0.000344542	0.000104387	3.72362e-07	0.000103955	0.000311536	0.000208274	0.000830596	0.000726247	0.00166149	0.00290824	0.00534489	0.0123982
d1_14	0.00639292	0.00679048	0.00566703	0.00246648	0.0029929	0.00109027	0.000311182	0.000726092	0.000311276	5.36805e-05	5.39859e-07	0.000104474	0.000260868	0.000311182	0.000208494	0.00084143	0.00166088	0.00612317	0.0139037
d1_15	0.00369271	0.00478456	0.00379229	0.00311926	0.00264974	0.00124674	0.000727047	0.00041491	0.000104666	0.000622364	0.000311182	2.85337e-07	0.000156604	3.77505e-07	1.48527e-07	0.00103882	0.00161104	0.00433979	0.0100645
d1_16	0.00394975	0.00395004	0.00538589	0.00145674	0.00179796	0.00166173	0.000934583	0.000363046	0	4.10938e-08	0	0	5.28108e-05	5.204e-05	0.000622364	0.001141	0.00140053	0.00347882	0.0136939
d1_17	0.00244287	0.0038463	0.00566034	0.00187222	0.00155688	0.000311244	0.000415938	0	0	3.66373e-07	0.000727005	0.00129728	0.000311601	0.000311182	0	0	0.00129666	0.00238744	0.0121892
d1_18	0.00238865	0.00145317	0.00155911	0.000415867	0.0003122	0	0.000934519	0.000520366	0.000103727	0.000311182	0	0	0.000415013	0.000311182	0.000933547	0.00114236	0.00176337	0.00311332	0.0163916
d1_19	0.000311182	0.000103727	0.00103845	0.000311182	0.000311182	0	0	0	0.000311182	0	0	0.000311182	0	0.000622364	0	0.000311182	0.00166064	0.00342313	0.00809216
