	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d3_0	0	0.0126381	0.00872222	0.00527617	0.00618141	0.00619542	0.00560434	0.00499993	0.00467885	0.00354649	0.00202777	0.00404478	0.00495829	0.00347228	0.00424771	0.0037791	0.00123916	0.00164756	1.02356e-07	0.000495229
d3_1	0.0112546	0.00461389	0.00322335	0.00181134	0.00496852	0.00341561	0.00211165	0.00328806	0.00279094	0.00373089	0.00311025	0.00285064	0.00384065	0.00276274	0.00247819	0.00216832	0.00152427	0.000866727	0.000247865	0.000495158
d3_2	0.00728043	0.00552449	0.00245133	0.0011912	0.0035135	0.00270659	0.00310111	0.0048077	0.00359492	0.00285031	0.00390159	0.00622924	0.00344314	0.00111608	0.000867207	0.00136177	0.000557673	0.00309507	0.00012432	0.000123978
d3_3	0.00500297	0.00347595	0.00175152	0.00253935	0.00333001	0.00297703	0.0039426	0.00390287	0.000870267	0.00185986	0.00446103	0.00434673	0.00154876	0.000843338	0.00117617	0.00130044	0.000866959	0.000866941	1.08688e-08	0.00059415
d3_4	0.00673837	0.00613528	0.00434898	0.00401058	0.00621165	0.00190152	0.00301228	0.00319772	0.00260154	0.00573382	0.00297202	0.00375228	0.00297181	0.00251427	0.00340417	0.00173339	0.0016096	0.00179558	0.000123878	0
d3_5	0.00315464	0.00347846	0.00683773	0.00363879	0.00246081	0.00107081	0.00371977	0.00260405	0.00164898	0.00198159	0.00396364	0.00191884	0.00179555	0.0014862	0.00216677	0.00204304	0.000743091	0.000866462	0.000123839	1.84599e-08
d3_6	0.00506011	0.00313578	0.00217433	0.00329027	0.00183968	0.000932627	0.00348177	0.00121608	0.00248023	0.00257736	0.00315865	0.00208095	0.00229097	0.00253931	0.00148658	0.00216599	0.00154741	0.00253841	0.000371211	0.000371433
d3_7	0.00503711	0.00250157	0.00243464	0.00254266	0.0027649	0.00204706	0.00353154	0.00167387	0.00272567	0.00210539	0.00229115	0.00136375	0.00099035	0.00272469	0.00164696	0.000805659	0.00111363	0.00154709	0.00136173	1.89946e-07
d3_8	0.00159762	0.00161829	0.00348879	0.00166482	0.00111818	0.00211993	0.00103189	0.00334415	0.00297231	0.00260082	0.00142459	0.00427101	0.000310944	0.00334199	0.00185678	1.42427e-07	0.00173281	0.0012379	0.000371588	0.000371211
d3_9	0.0023669	0.00229912	0.00165099	0.00221266	0.00433812	0.00412548	0.00501606	0.00124009	0.0015248	0.00214242	0.00130138	0.00167147	0.0030325	0.00399879	0.00297106	0.00226512	0.000866337	0.0012375	0.00123774	0.000928027
d3_10	0.00192479	0.00175124	0.00247985	0.00291622	0.00276405	0.00220694	0.00313636	0.000869362	0.00223054	0.0028498	0.00232768	0.00183264	0.000743388	0.00284749	0.0018578	0.00160933	0.00173253	0.00222821	0.000742422	0.00148505
d3_11	0.00142797	0.00208621	0.0021461	0.00208486	0.00251626	0.00331852	0.00379008	0.00371553	0.00216833	0.00130133	0.0021674	0.000990846	0.000867322	0.00550974	0.00383757	0.00352773	0.000866587	0.00111416	0.00123796	0.00148494
d3_12	0.000744839	0.000906365	0.00210883	0.00210734	0.000559885	0.00247855	0.00334446	0.000435744	0.00458314	0.00167212	0.00322081	0.00247632	0.00284659	0.000371426	0.0013615	0.000495122	0.00117599	0.0022282	0.00111387	0.00136139
d3_13	0.000187688	0.00192192	0.00173525	0.00185916	0.000929888	0.00133896	0.00303428	0.00115253	0.00112757	0.00241596	0.00210477	0.00257542	0.00154774	0.00247501	0.000866665	0.00210384	0.0017326	0.00179431	0.00123768	0.00346516
d3_14	0.000595371	0.000992607	0.00241689	0.00214457	0.00300991	0.00117759	0.00220418	0.00216655	0.00179688	0.00309575	0.0024766	0.00160911	0.00105255	0.00263684	0.000495505	0.00111387	0.00210393	0.00170846	0.00167048	0.0030938
d3_15	3.74541e-07	0.000249148	0.00111511	0.0011158	0.00191972	0.00247726	0.00192156	0.00222932	0.00241499	0.00365275	0.00198109	0.00160978	0.00278633	0.0028476	0.000619352	0.00148549	0.00235175	0.00408409	0.00136167	0.00210384
d3_16	6.25198e-05	6.28614e-05	0.0017336	0.00204459	0.00167296	0.00359217	0.00210461	0.00210481	0.00414888	0.00297133	0.00525994	0.00247561	0.0025996	0.00222945	0.00136195	0.00383638	0.00266131	0.00259876	0.0032791	0.00321716
d3_17	0.000805655	3.76588e-05	0.000991715	0.00137521	0.0011522	0.00136257	0.000620271	0.00189604	0.00358936	0.00328148	0.00136169	0.000248069	0.00346552	0.00272336	0.00247518	0.00216644	0.00185674	0.000866371	0.00160894	0.00148484
d3_18	0	0.000309899	0.00278569	0.000557639	0.0013005	0.00148644	0.000990926	0.00297164	0.00550938	0.00272319	0.00241415	0.00290972	0.00358948	0.00216596	0.00173327	0.00278513	0.000371211	0.000866159	0.00358864	0.00346469
d3_19	0.000495028	0.000124219	0.000867204	0.00154832	0.00185726	0.0020429	0.00210466	0.00278529	0.00247591	0.00259959	0.00247663	0.00229051	0.00216641	0.00123762	0.00185619	0.00383744	0.000494998	0.00160891	0.00235107	0.00519743
d3_20	0.000495269	0	0.00111428	0.000990016	0.00247572	0.0037513	0.00272395	0.00408526	0.00284702	0.0018571	0.00160922	0.00297046	0.00272286	0.00309424	0.00334168	0.00346501	0.00259917	0.00476452	0.00581643	0.0210357
