	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41
d3_0	0	0.0536455	0.019846	0.00998385	0.00723125	0.00274085	0.0014408	0.00182738	0.00194534	0.00168033	0.00150633	0.000390994	0.000538227	0.000723253	0.000840683	0.000298237	0.000744782	0.00185512	0.000644056	0.000773654	0.000829331	0.00042465	0.00186282	0.00154478	0.000580764	0.000333885	0.00123569	0.000821193	0.000376217	0.00164388	0.000514726	0.00163335	0.00302044	0.00442938	0.00282224	0.0068652	0.00796677	0.00563166	0.00551643	0.00276324	0.000598117	0.000284861
d3_1	0.0120061	0.00860342	0.00502065	0.0043907	0.000971085	0.000760841	9.58799e-05	0.00102654	0.000156988	0.000475701	7.71477e-05	0.000191071	7.71077e-05	0.0002291	0.000328845	6.42892e-07	1.98616e-05	0.000327848	5.71207e-07	0.000124766	0.000475054	0.000446646	1.00551e-06	1.94974e-05	0.000142837	7.65128e-05	2.91854e-05	0.00100648	0.000427183	0.000646076	0.000688475	0.000475159	0.00105434	0.00157629	0.00288674	0.00285831	0.00409184	0.00480862	0.0048224	0.00229768	0.00149955	0.000284667
d3_2	0.00917472	0.00996259	0.00442518	0.00423935	0.00206608	0.000105867	0.00266294	0.000143064	5.57203e-07	0.00038011	2.88572e-05	0.000456152	7.46954e-07	4.78715e-05	0.000399198	0.000237895	0.000854836	0.000759852	0.000360965	2.8882e-05	3.96309e-07	2.25959e-07	0.000807452	0.000427822	9.54149e-05	7.63458e-05	2.45051e-07	0.000171216	0.000143001	3.12181e-07	0.000237588	0.000693668	0.00118702	0.00204146	0.000646338	0.00346563	0.00288579	0.00336074	0.00180374	0.00154741	0.00133877	0.000189959
d3_3	0.00881697	0.00796651	0.00448374	0.00373374	0.00205134	0.000457466	7.64493e-05	0.00014298	2.86807e-05	9.52342e-05	0.000503266	9.51702e-05	3.59278e-07	4.1828e-07	0.000380101	1.16501e-07	1.40444e-07	0.000332738	7.62756e-05	0.000313641	1.32958e-07	2.98095e-07	4.7766e-05	1.04562e-07	0.000123573	7.63331e-05	0.000190102	0.00038008	1.40468e-07	4.77631e-05	0.000346492	0.000380145	0.000736308	0.00214584	0.00120604	0.0020226	0.00334267	0.00271501	0.00227833	0.000806923	0.000854135	0
d3_4	0.00718302	0.00756627	0.007028	0.00276693	0.00149187	0.000665125	0.000379801	0.000123951	2.52731e-07	0.000142836	0.000379789	2.25337e-07	9.51685e-05	0.000598594	0.0002139	0.000474802	0.000379734	1.817e-07	0.000171125	7.49409e-08	9.51309e-05	0.00028473	0.000664579	1.74615e-07	2.44551e-07	0.000408459	0.00028496	2.86438e-05	0.000142618	4.77201e-05	4.76168e-05	0.00014276	0.00131008	9.50338e-05	0.00310436	0.00147136	0.00281024	0.000835527	0.0025729	0.00235373	0.000948889	0.000882467
d3_5	0.00461482	0.00647568	0.00323913	0.00340381	0.00265987	0.00123494	0.000830639	9.50884e-05	7.61789e-08	2.22793e-07	3.86293e-07	0.000284805	2.01516e-07	3.00907e-07	0.000142669	0.000427119	0.00042745	7.65011e-05	6.99914e-08	2.95588e-07	1.09797e-07	9.51566e-05	0.000218778	0.00014249	4.74963e-05	3.41786e-08	0.000474712	9.4985e-05	9.54675e-05	0.000170981	4.7746e-05	0.000104796	0.000655169	0.000873749	0.000930481	0.00189879	0.00167127	0.00262002	0.00279123	0.00270516	0.000616948	0.000189991
d3_6	0.00297726	0.00773959	0.00512275	0.00261534	0.00154912	0.00246899	0.00105418	0.000474819	0.000408658	0.000218511	0.000142715	1.07083e-07	8.20325e-08	9.49771e-05	1.96497e-07	2.29098e-07	0.00014262	1.36635e-08	1.87389e-07	0	0.000379783	0.00020364	6.10397e-08	2.55965e-07	0.000455686	1.87651e-07	0.000190055	9.49497e-05	1.99648e-07	4.28981e-08	0.000190017	0.000949339	0.00105354	0.000285079	0.000759258	0.00190825	0.000740984	0.00208839	0.00346417	0.00360068	0.00123356	0.000569334
d3_7	0.00286371	0.0044361	0.00436534	0.00218688	0.00203286	0.00145357	0.00128145	9.50647e-05	0.000142509	1.21958e-07	0.000114278	1.06866e-07	4.75038e-05	4.75285e-05	0.000284755	9.49091e-05	1.80124e-07	1.50863e-07	4.78085e-08	4.74807e-05	1.49803e-07	6.44176e-08	8.03595e-08	5.96706e-08	8.49097e-08	0.000171252	0.000237487	3.11758e-08	4.75263e-05	0.000379567	0.000474503	7.60831e-05	0.000332378	0.00081647	0.000740885	0.00183255	0.00314236	0.00311305	0.00156609	0.00187915	0.00161311	0.000237444
d3_8	0.00344501	0.00542426	0.00448739	0.00258968	0.00226635	0.00194621	0.000835938	0.000190079	0.000474898	0.000142377	0.000474725	0.000664308	6.2404e-08	7.39084e-08	7.55245e-08	0.000284758	4.70655e-08	1.80032e-07	8.12358e-08	1.96991e-07	0.000379723	0.000284816	9.49811e-05	8.89355e-08	1.16915e-07	0.000123902	9.49259e-05	1.0193e-08	0.000123733	1.0758e-07	3.58576e-08	0.000475096	0.000313441	0.000835372	0.00119597	0.00146252	0.00106389	0.00231587	0.00206892	0.0031128	0.00194582	0.00085415
d3_9	0.00412824	0.00368599	0.00429655	0.00313487	0.00255471	0.000393944	0.000332563	0.00113889	7.18372e-10	0.000190053	9.49047e-05	0.000142428	9.50398e-05	5.0659e-08	9.49803e-05	2.86321e-05	0.000379607	1.41845e-07	8.5068e-09	1.08439e-09	1.07706e-07	1.88872e-09	1.02678e-07	0	0.000284679	1.92023e-05	0	0.000313143	0	2.99496e-08	2.87399e-05	0.000427258	7.61498e-05	0.000427039	0.000455775	0.000569334	0.00194588	0.00301809	0.00316028	0.00420423	0.00142333	0.00142333
d3_10	0.00293241	0.00569475	0.00402914	0.00386052	0.00201227	0.00262537	0.00148064	0.000474661	0.00040847	0.00107245	1.4697e-08	1.27663e-08	7.41193e-08	0.000379685	3.47593e-08	0.000303933	8.57604e-05	2.2511e-08	9.49696e-05	0.000142479	0.000360712	0.000569456	0	8.0165e-08	4.84463e-08	2.27659e-07	0.000455526	1.21102e-07	0.000284667	2.86663e-05	0.000170945	9.49272e-05	0.00074029	0.000455933	0.000332242	0.00195506	0.00235411	0.00123366	0.00237273	0.0026099	0.00298913	0.00166056
d3_11	0.00257418	0.00307858	0.00623217	0.00526215	0.00358003	0.00203158	0.000854821	0.000806883	0.000284686	0.000332146	0.000189939	1.85644e-08	0.000170801	9.42734e-09	0.00042701	6.30948e-09	1.32768e-08	0.000550836	7.59129e-05	1.15934e-08	9.51138e-05	4.76968e-05	2.86473e-05	3.39663e-08	0	0.000379556	5.94095e-08	0	0	0	0	0.000189879	2.23723e-08	0.000142453	0.00140479	0.000190014	0.000284967	0.00192648	0.00168927	0.00276217	0.00161327	0.00227746
d3_12	0.00222716	0.00311828	0.00392517	0.0024233	0.00260175	0.00124404	0.00142371	0.000740352	0.000806932	4.91772e-08	0.00045573	4.02323e-08	6.07132e-09	7.60572e-05	4.73991e-09	0	1.1585e-07	3.1509e-08	0	7.70577e-08	0.00037982	0.000284682	1.61991e-08	0	0	4.74445e-05	0.000474456	0	9.13222e-08	1.03396e-08	0.0008828	0.000284667	0	0.000427192	0	0.0008541	0.00145274	0.00173682	0.00118611	0.00213529	0.00275178	0.00151822
d3_13	0.000262765	0.00313711	0.00300221	0.00236075	0.00384484	0.00180409	0.00137657	0.000474563	0.000503081	0.00055046	0	0.000284901	0.000284667	2.85022e-05	0	0	8.08825e-08	0	0.000123476	9.48889e-05	7.47203e-08	0	0	0	0	0	8.81953e-09	0.00042731	1.04614e-07	9.50608e-05	0	6.44276e-09	0.000332412	0	0.000142481	0.00118633	0.00112011	0.0014234	0.00137601	0.00254372	0.00218283	0.000854045
d3_14	0.00115077	0.00203449	0.0053948	0.00352204	0.00206063	0.00107356	0.00164227	0.000759204	0.00056959	0.000569344	0.000664388	0	0.000142383	0	1.53512e-08	9.49035e-05	4.74445e-05	0.000332111	5.96827e-08	6.52996e-09	0	0.000284667	0	9.49546e-05	9.4925e-05	4.20911e-08	0	1.39853e-08	1.58075e-07	0	0	0	9.50035e-05	0.000427022	0.000521955	0.000759242	0.00185049	0.000379739	0.00113867	0.00270442	0.00332123	0.00128114
d3_15	0.000295433	0.00184341	0.00347608	0.00252734	0.00294301	0.001519	0.00160804	0.000759444	0.000664253	0.000522165	9.48946e-05	7.24786e-08	0	2.96063e-09	9.50497e-05	0.000284667	0	3.45793e-08	4.6961e-08	4.74445e-05	1.18434e-08	0	3.1533e-08	4.76465e-05	0	0.000284757	0.000313268	0	0	0	0.000583084	9.50278e-05	0	9.83276e-09	5.65275e-08	0.00066441	0.00132858	0.00173694	0.00227746	0.00109165	0.00336914	0.00142333
d3_16	0.000911891	0.00162503	0.00367516	0.00255811	0.00153321	0.00225941	0.00185097	0.00189788	0.000284756	0.00104378	7.60467e-05	0	2.84649e-08	0	4.756e-05	0.000408178	0.000284667	4.74445e-05	9.48889e-05	0.000379556	0.000379556	4.75184e-05	0	0	0	0.000521889	0.000284667	0	0.000284667	0	0	0.000284667	0	0	0.000142333	0.000522025	0.000379718	0.000759111	0.00104386	0.00341619	0.00349211	0.00265704
d3_17	7.39531e-08	0.00088329	0.00115043	0.00235481	0.00219335	0.00178492	0.00137632	0.000664318	0.00170816	8.95719e-09	0	1.09885e-07	0.00014246	8.45624e-09	0.000284717	0	4.16069e-08	0.0001708	0	0	1.14943e-07	0	4.75135e-05	0	8.76783e-08	9.50297e-05	0	0.00028479	0	0	0	0.000284698	0	4.52199e-09	0	0.000218416	0.000284827	0.00102497	0.00180289	0.00189782	0.00275199	0.00379578
d3_18	0.000123659	0.00116826	0.00148175	0.00266869	0.00323732	0.00238249	0.00263816	0.000503426	0.00137589	0.000664336	0.000284667	0	3.58676e-08	0	0	9.48889e-05	4.7574e-05	0	0.000474539	0.000427	0.000142333	0	2.23043e-08	0.000569586	0.000664285	0.00071178	0	0.000284667	0	9.48889e-05	0.000284667	0.000142339	0.000427	0	0.000189778	0.00142338	9.50574e-05	0.001471	0.00303687	0.001708	0.00425104	0.00317878
d3_19	0.000617211	0.00164174	0.00175633	0.0038727	0.00322732	0.00297056	0.00181297	0.00149935	0.00132882	0.000284667	9.48889e-05	0.000360662	0.000284667	0.000427	0.000569334	0	0	0	0	0	0.000284667	0.000379556	0	9.48889e-05	0	0	0	0.000142333	0	9.48889e-05	0	0.000170949	0.000284667	0	0.000569334	0	0.000474485	0.000313183	0.00289423	0.00175554	0.00322634	0.00322622
d3_20	0.000284927	0.000959598	0.00211762	0.00335119	0.00427193	0.00558134	0.00439523	0.000882962	0.00189818	0.00216374	0.00104391	0	0.000854	0	0.000332111	0.000948889	0	2.31063e-08	0.000645507	0.00132844	6.06126e-09	0.000284667	0.000284667	0.000379556	0.000948889	0.000379556	9.79498e-08	0.000284667	9.49433e-05	0	9.49775e-05	0.000854	0.000854152	0.00123356	0.000854	9.48889e-05	0.00113878	0.00384304	0.00379569	0.00811319	0.0146605	0.0146129
