Taxon	Control.CSUSM	Zeus.CSUSM	Brewers.Gold.CSUSM	Neo1.CSUSM	Comet.CSUSM	Columbus.CSUSM	Saaz72.CSUSM	Sorachi.Ace.CSUSM	Southern.Cross.CSUSM	Hallertauer.CSUSM	Fuggle.UK
seq5033 Sphingomonas;sp47881	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1001 Sphingomonas;daechungensis	0.0001	1e-06	0.0002	0.0004	0.0003	0.0001	1e-06	1e-06	0.0001	1e-06	0.0001
seq6709 Sphingomonas;daechungensis-sp47923	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq2716 Sphingomonas;starnbergensis-wittichii	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001	1e-06	0.0001
seq6779 Sphingomonas;starnbergensis-wittichii	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1865 Sphingomonas;starnbergensis-wittichii	1e-06	0.0001	1e-06	1e-06	1e-06	1e-06	0.0001	0.0001	1e-06	0.0002	1e-06
seq5410 Sphingomonas;laterariae	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq5938 Sphingomonas;starnbergensis-wittichii	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06
seq1082 Sphingomonas;starnbergensis-wittichii	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0001	0.0002	0.0001	0.0001	1e-06
seq4301 Sphingomonas;starnbergensis	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	1e-06	0.0001
